lambda_nm Rup_1nm Rup_8nm Rup_16nm Rup_24nm Rup_31nm Rup_39nm Rup_47nm Rup_54nm Rup_62nm Rup_70nm Rdown_1nm Rdown_8nm Rdown_16nm Rdown_24nm Rdown_31nm Rdown_39nm Rdown_47nm Rdown_54nm Rdown_62nm Rdown_70nm
450.000000 0.179149 0.161568 0.202344 0.235564 0.254586 0.261374 0.260023 0.254490 0.247684 0.241325 0.016938 0.015983 0.055154 0.105175 0.152200 0.188827 0.213230 0.226971 0.232967 0.234143
452.763819 0.170797 0.159746 0.200524 0.233999 0.253547 0.260951 0.260146 0.254994 0.248386 0.242074 0.017941 0.015348 0.054451 0.104420 0.151741 0.188999 0.214208 0.228751 0.235424 0.237094
455.527638 0.162634 0.157749 0.198576 0.232363 0.252493 0.260570 0.260364 0.255640 0.249269 0.243030 0.019080 0.014695 0.053760 0.103728 0.151393 0.189324 0.215380 0.230772 0.238166 0.240374
458.291457 0.154853 0.155620 0.196546 0.230707 0.251485 0.260298 0.260747 0.256502 0.250409 0.244277 0.020307 0.014039 0.053094 0.103112 0.151166 0.189813 0.216759 0.233042 0.241205 0.243996
461.055276 0.147560 0.153393 0.194474 0.229082 0.250579 0.260195 0.261362 0.257652 0.251885 0.245894 0.021585 0.013393 0.052464 0.102581 0.151070 0.190471 0.218347 0.235566 0.244543 0.247964
463.819095 0.140815 0.151105 0.192402 0.227534 0.249830 0.260323 0.262276 0.259161 0.253770 0.247962 0.022887 0.012775 0.051899 0.102173 0.151150 0.191352 0.220200 0.238399 0.248238 0.252337
466.582915 0.134630 0.148790 0.190367 0.226110 0.249290 0.260737 0.263548 0.261092 0.256133 0.250553 0.024189 0.012200 0.051414 0.101903 0.151418 0.192462 0.222323 0.241544 0.252290 0.257114
469.346734 0.128987 0.146475 0.188402 0.224850 0.249005 0.261492 0.265236 0.263508 0.259041 0.253738 0.025474 0.011679 0.051032 0.101798 0.151906 0.193835 0.224745 0.245027 0.256723 0.262317
472.110553 0.123856 0.144183 0.186540 0.223794 0.249020 0.262633 0.267392 0.266464 0.262553 0.257580 0.026735 0.011226 0.050779 0.101896 0.152654 0.195514 0.227512 0.248893 0.261580 0.267988
474.874372 0.119198 0.141938 0.184810 0.222976 0.249376 0.264208 0.270062 0.270010 0.266722 0.262138 0.027960 0.010849 0.050672 0.102213 0.153681 0.197512 0.230631 0.253143 0.266856 0.274119
477.638191 0.114967 0.139755 0.183235 0.222427 0.250107 0.266253 0.273290 0.274191 0.271596 0.267462 0.029151 0.010558 0.050743 0.102800 0.155048 0.199901 0.234177 0.257851 0.272624 0.280778
480.402010 0.111121 0.137649 0.181838 0.222177 0.251248 0.268803 0.277109 0.279043 0.277213 0.273594 0.030302 0.010358 0.051005 0.103673 0.156771 0.202692 0.238155 0.263016 0.278876 0.287952
483.165829 0.107617 0.135626 0.180637 0.222249 0.252824 0.271889 0.281551 0.284598 0.283606 0.280566 0.031414 0.010250 0.051481 0.104868 0.158896 0.205934 0.242614 0.268686 0.285655 0.295679
485.929648 0.104417 0.133694 0.179647 0.222663 0.254860 0.275533 0.286639 0.290877 0.290796 0.288403 0.032488 0.010237 0.052187 0.106411 0.161453 0.209659 0.247586 0.274885 0.292979 0.303970
488.693467 0.101481 0.131848 0.178877 0.223435 0.257372 0.279753 0.292388 0.297895 0.298797 0.297115 0.033519 0.010315 0.053129 0.108310 0.164448 0.213868 0.253061 0.281595 0.300822 0.312792
491.457286 0.098780 0.130090 0.178336 0.224579 0.260377 0.284563 0.298810 0.305659 0.307612 0.306705 0.034515 0.010481 0.054331 0.110615 0.167951 0.218644 0.259131 0.288912 0.309276 0.322231
494.221106 0.096286 0.128410 0.178028 0.226104 0.263884 0.289971 0.305907 0.314168 0.317235 0.317162 0.035473 0.010730 0.055791 0.113324 0.171955 0.223973 0.265774 0.296803 0.318299 0.332237
496.984925 0.093977 0.126803 0.177956 0.228017 0.267900 0.295979 0.313677 0.323411 0.327650 0.328466 0.036396 0.011055 0.057523 0.116470 0.176507 0.229911 0.273047 0.305325 0.327944 0.342856
499.748744 0.091829 0.125252 0.178117 0.230321 0.272427 0.302584 0.322108 0.333371 0.338830 0.340583 0.037278 0.011445 0.059512 0.120029 0.181573 0.236409 0.280889 0.314401 0.338123 0.353988
502.512563 0.089828 0.123748 0.178509 0.233017 0.277463 0.309777 0.331185 0.344020 0.350741 0.353469 0.038126 0.011895 0.061771 0.124041 0.187208 0.243534 0.289374 0.324109 0.348911 0.365707
505.276382 0.087960 0.122274 0.179124 0.236103 0.283002 0.317545 0.340883 0.355325 0.363338 0.367071 0.038935 0.012396 0.064288 0.128493 0.193395 0.251263 0.298468 0.334407 0.360257 0.377950
508.040201 0.086210 0.120817 0.179954 0.239573 0.289036 0.325870 0.351173 0.367245 0.376569 0.381326 0.039703 0.012939 0.067048 0.133370 0.200116 0.259567 0.308134 0.345246 0.372102 0.390651
