config_name,optimal_n_mode
c30_g2_m10 - Mat_S1,85
c30_g2_m10 - Mat_S2,82
c30_g2_m10 - Mat_S3,77
c30_g6_m10 - Mat_S1,15
c30_g6_m10 - Mat_S2,15
c30_g6_m10 - Mat_S3,27
c30_g12_m10 - Mat_S1,15
c30_g12_m10 - Mat_S2,15
c30_g12_m10 - Mat_S3,15
c70_g2_m10 - Mat_S1,15
c70_g2_m10 - Mat_S2,15
c70_g2_m10 - Mat_S3,15
c70_g6_m10 - Mat_S1,45
c70_g6_m10 - Mat_S2,45
c70_g6_m10 - Mat_S3,55
c70_g12_m10 - Mat_S1,28
c70_g12_m10 - Mat_S2,35
c70_g12_m10 - Mat_S3,35
c30_g2_m50 - Mat_S1,100
c30_g2_m50 - Mat_S2,100
c30_g2_m50 - Mat_S3,100
c30_g6_m50 - Mat_S1,18
c30_g6_m50 - Mat_S2,18
c30_g6_m50 - Mat_S3,18
c30_g12_m50 - Mat_S1,10
c30_g12_m50 - Mat_S2,10
c30_g12_m50 - Mat_S3,15
c70_g2_m50 - Mat_S1,18
c70_g2_m50 - Mat_S2,22
c70_g2_m50 - Mat_S3,22
c70_g6_m50 - Mat_S1,55
c70_g6_m50 - Mat_S2,65
c70_g6_m50 - Mat_S3,65
c70_g12_m50 - Mat_S1,46
c70_g12_m50 - Mat_S2,55
c70_g12_m50 - Mat_S3,58
