Simulation Summary - All Geometry/Material Combos
Timestamp: 20250318_113348
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 20

---- COMBINATIONS ----

Combo name: Geom_S1_based_on_schema - S1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 0.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=450.0 nm -> Rup=0.26444183670124427, Rdown=1.3385429208644329e-09
  λ=452.7638190954774 nm -> Rup=0.2690659908079029, Rdown=1.5082896706904267e-09
  λ=455.52763819095475 nm -> Rup=0.27405189390740964, Rdown=1.6963298486998036e-09
  λ=458.29145728643215 nm -> Rup=0.27944142229217606, Rdown=1.904090834871543e-09
  λ=461.05527638190955 nm -> Rup=0.2852705181811975, Rdown=2.13301587434624e-09
  λ=463.81909547738695 nm -> Rup=0.29156873166991853, Rdown=2.384546792027348e-09
  λ=466.5829145728643 nm -> Rup=0.2983587789201549, Rdown=2.6601047893296487e-09
  λ=469.3467336683417 nm -> Rup=0.30565614864820373, Rdown=2.961069768413268e-09
  λ=472.1105527638191 nm -> Rup=0.31346878893896646, Rdown=3.2887587812396196e-09
  λ=474.8743718592965 nm -> Rup=0.3217969069308528, Rdown=3.6444043410641516e-09
  λ=477.63819095477385 nm -> Rup=0.33063291417649837, Rdown=4.029133440944037e-09
  λ=480.40201005025125 nm -> Rup=0.3399615494857087, Rdown=4.443948171378264e-09
  λ=483.16582914572865 nm -> Rup=0.3497602074553828, Rdown=4.889708792348136e-09
  λ=485.92964824120605 nm -> Rup=0.3599994928824112, Rdown=5.3671199803236285e-09
  λ=488.6934673366834 nm -> Rup=0.37064400554070825, Rdown=5.876720753818287e-09
  λ=491.4572864321608 nm -> Rup=0.3816533311607475, Rdown=6.418878343427094e-09
  λ=494.2211055276382 nm -> Rup=0.39298317001653377, Rdown=6.993786107985208e-09
  λ=496.9849246231156 nm -> Rup=0.4045864902211013, Rdown=7.601465521514737e-09
  λ=499.74874371859295 nm -> Rup=0.4164145977655279, Rdown=8.241772031226515e-09
  λ=502.51256281407035 nm -> Rup=0.4284181088238544, Rdown=8.914403870610244e-09
  λ=505.27638190954775 nm -> Rup=0.4405479270099451, Rdown=9.618911860873725e-09
  λ=508.04020100502515 nm -> Rup=0.4527563374106939, Rdown=1.0354707503798809e-08
  λ=510.8040201005025 nm -> Rup=0.4649982195895079, Rdown=1.1121066312516456e-08
  λ=513.5678391959799 nm -> Rup=0.4772322678719466, Rdown=1.1917122667422874e-08
  λ=516.3316582914573 nm -> Rup=0.48942204480755463, Rdown=1.2741851485553714e-08
  λ=519.0954773869347 nm -> Rup=0.5015366506244069, Rdown=1.3594031828822655e-08
  λ=521.8592964824121 nm -> Rup=0.5135507532523538, Rdown=1.4472189946470846e-08
  λ=524.6231155778894 nm -> Rup=0.5254437351885246, Rdown=1.5374525402008793e-08
  λ=527.3869346733668 nm -> Rup=0.5371978427884812, Rdown=1.6298833571888435e-08
  λ=530.1507537688442 nm -> Rup=0.5487955002462299, Rdown=1.7242447910125083e-08
  λ=532.9145728643216 nm -> Rup=0.560216313593145, Rdown=1.8202230245849818e-08
  λ=535.678391959799 nm -> Rup=0.5714345745763141, Rdown=1.9174631140634627e-08
  λ=538.4422110552764 nm -> Rup=0.5824180861486674, Rdown=2.0155823659121902e-08
  λ=541.2060301507538 nm -> Rup=0.5931287854275553, Rdown=2.114188893382509e-08
  λ=543.9698492462312 nm -> Rup=0.6035250263906193, Rdown=2.2129012815294272e-08
  λ=546.7336683417086 nm -> Rup=0.6135648606615649, Rdown=2.311365155992182e-08
  λ=549.4974874371859 nm -> Rup=0.6232094969134157, Rdown=2.4092635719809173e-08
  λ=552.2613065326633 nm -> Rup=0.6324260148184411, Rdown=2.5063198985062278e-08
  λ=555.0251256281407 nm -> Rup=0.6411886861992881, Rdown=2.6022952569774287e-08
  λ=557.7889447236181 nm -> Rup=0.6494793252370332, Rdown=2.696984282791961e-08
  λ=560.5527638190955 nm -> Rup=0.6572873908606651, Rdown=2.7902094390163354e-08
  λ=563.3165829145729 nm -> Rup=0.6646093643214127, Rdown=2.8818119801889018e-08
  λ=566.0804020100503 nm -> Rup=0.671446550599527, Rdown=2.9716432550606318e-08
  λ=568.8442211055276 nm -> Rup=0.6778022217819833, Rdown=3.059565024086706e-08
  λ=571.608040201005 nm -> Rup=0.6836804559901803, Rdown=3.1454604909905495e-08
  λ=574.3718592964824 nm -> Rup=0.6890875179601097, Rdown=3.229244490324691e-08
  λ=577.1356783919598 nm -> Rup=0.6940336161120054, Rdown=3.310859575713753e-08
  λ=579.8994974874372 nm -> Rup=0.6985319647114293, Rdown=3.390260116596513e-08
  λ=582.6633165829146 nm -> Rup=0.7025944165297582, Rdown=3.4674046059054434e-08
  λ=585.427135678392 nm -> Rup=0.706226473349366, Rdown=3.542277428823763e-08
  λ=588.1909547738694 nm -> Rup=0.7094258338257203, Rdown=3.6149387340687665e-08
  λ=590.9547738693468 nm -> Rup=0.712185954912515, Rdown=3.6855754790633196e-08
  λ=593.7185929648241 nm -> Rup=0.7145021138376155, Rdown=3.7545258173239664e-08
  λ=596.4824120603015 nm -> Rup=0.7163762057314501, Rdown=3.8222682450660805e-08
  λ=599.2462311557789 nm -> Rup=0.717817703281491, Rdown=3.8893853787954107e-08
  λ=602.0100502512563 nm -> Rup=0.7188395418323613, Rdown=3.956530186272029e-08
  λ=604.7738693467337 nm -> Rup=0.7194496248202096, Rdown=4.024440286815787e-08
  λ=607.5376884422111 nm -> Rup=0.7196420640402277, Rdown=4.0940340633725187e-08
  λ=610.3015075376884 nm -> Rup=0.7193940278927505, Rdown=4.166564680613644e-08
  λ=613.0653266331658 nm -> Rup=0.7186702888218153, Rdown=4.243759686382529e-08
  λ=615.8291457286432 nm -> Rup=0.7174312751981398, Rdown=4.3279023155388106e-08
  λ=618.5929648241206 nm -> Rup=0.7156388997915539, Rdown=4.421883421421437e-08
  λ=621.356783919598 nm -> Rup=0.7132587440476206, Rdown=4.529273013204692e-08
  λ=624.1206030150754 nm -> Rup=0.7102614306457187, Rdown=4.6544042174232517e-08
  λ=626.8844221105528 nm -> Rup=0.706625431807797, Rdown=4.8024123269674786e-08
  λ=629.6482412060302 nm -> Rup=0.7023392404532733, Rdown=4.979211718217692e-08
  λ=632.4120603015076 nm -> Rup=0.6973976947655931, Rdown=5.191508047307402e-08
  λ=635.1758793969849 nm -> Rup=0.6917892590723906, Rdown=5.447025833174639e-08
  λ=637.9396984924623 nm -> Rup=0.6854782639726886, Rdown=5.755065945216161e-08
  λ=640.7035175879397 nm -> Rup=0.6783931537461381, Rdown=6.127276603938617e-08
  λ=643.4673366834171 nm -> Rup=0.670430370804271, Rdown=6.57831073664981e-08
  λ=646.2311557788945 nm -> Rup=0.6614724078397416, Rdown=7.126108006068761e-08
  λ=648.9949748743719 nm -> Rup=0.6514080777412488, Rdown=7.791870972014073e-08
  λ=651.7587939698492 nm -> Rup=0.6401423413354295, Rdown=8.600117738885809e-08
  λ=654.5226130653266 nm -> Rup=0.627590227690305, Rdown=9.579267779899318e-08
  λ=657.286432160804 nm -> Rup=0.6136587283870806, Rdown=1.0762993192662493e-07
  λ=660.0502512562814 nm -> Rup=0.5982287170727209, Rdown=1.2192066613642154e-07
  λ=662.8140703517588 nm -> Rup=0.5811514540092263, Rdown=1.3915915912971047e-07
  λ=665.5778894472362 nm -> Rup=0.5622666452166764, Rdown=1.5993044140493566e-07
  λ=668.3417085427136 nm -> Rup=0.5414357337118484, Rdown=1.8490048334094093e-07
  λ=671.105527638191 nm -> Rup=0.518576092607885, Rdown=2.14797049553561e-07
  λ=673.8693467336684 nm -> Rup=0.4936828456274389, Rdown=2.503903087061727e-07
  λ=676.6331658291458 nm -> Rup=0.46682983921769927, Rdown=2.9248407232001385e-07
  λ=679.3969849246231 nm -> Rup=0.4381472089164893, Rdown=3.4192736506771284e-07
  λ=682.1608040201005 nm -> Rup=0.4077841931677846, Rdown=3.996457405267588e-07
  λ=684.9246231155779 nm -> Rup=0.375882517234774, Rdown=4.666678518330855e-07
  λ=687.6884422110553 nm -> Rup=0.34259345763355503, Rdown=5.440981002533296e-07
  λ=690.4522613065327 nm -> Rup=0.3081527874918875, Rdown=6.329893766769102e-07
  λ=693.2160804020101 nm -> Rup=0.2729885342867864, Rdown=7.341128664172573e-07
  λ=695.9798994974874 nm -> Rup=0.23780888477673792, Rdown=8.476774964013152e-07
  λ=698.7437185929648 nm -> Rup=0.20362240072569116, Rdown=9.730843101932295e-07
  λ=701.5075376884422 nm -> Rup=0.17166919618846305, Rdown=1.1088044352212198e-06
  λ=704.2713567839196 nm -> Rup=0.14327108211450584, Rdown=1.252452131436085e-06
  λ=707.035175879397 nm -> Rup=0.11963601172236493, Rdown=1.4010789373767579e-06
  λ=709.7989949748744 nm -> Rup=0.101677070673458, Rdown=1.5516256575998047e-06
