Simulation Summary - All Geometry/Material Combos
Timestamp: 20250318_114601
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 20

---- COMBINATIONS ----

Combo name: Geom_S1_based_on_schema - S1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 0.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=450.0 nm -> Rup=0.16798525949382598, Rdown=0.021084524942234995
  λ=452.7638190954774 nm -> Rup=0.16607768181310054, Rdown=0.020433374413524007
  λ=455.52763819095475 nm -> Rup=0.16402157232071551, Rdown=0.019769144318144426
  λ=458.29145728643215 nm -> Rup=0.16185580050218057, Rdown=0.019105489498337028
  λ=461.05527638190955 nm -> Rup=0.159613896779751, Rdown=0.018456496853324008
  λ=463.81909547738695 nm -> Rup=0.15733049649063205, Rdown=0.017841591999845165
  λ=466.5829145728643 nm -> Rup=0.1550377383728813, Rdown=0.017274554412977733
  λ=469.3467336683417 nm -> Rup=0.1527609925755605, Rdown=0.016770867044918408
  λ=472.1105527638191 nm -> Rup=0.150524863273771, Rdown=0.016345931120247615
  λ=474.8743718592965 nm -> Rup=0.1483512659330021, Rdown=0.016009881146174007
  λ=477.63819095477385 nm -> Rup=0.1462556711459097, Rdown=0.015776562957412837
  λ=480.40201005025125 nm -> Rup=0.14425356030054254, Rdown=0.015651832889484525
  λ=483.16582914572865 nm -> Rup=0.14235375788894877, Rdown=0.015642846689589478
  λ=485.92964824120605 nm -> Rup=0.1405640424091808, Rdown=0.015752896307832647
  λ=488.6934673366834 nm -> Rup=0.13888378847187824, Rdown=0.01597982374910452
  λ=491.4572864321608 nm -> Rup=0.13731451529874197, Rdown=0.01632736231490537
  λ=494.2211055276382 nm -> Rup=0.1358525848906907, Rdown=0.016788439250760328
  λ=496.9849246231156 nm -> Rup=0.13449282017717176, Rdown=0.017360478488007806
  λ=499.74874371859295 nm -> Rup=0.13322406821886293, Rdown=0.018029959472089706
  λ=502.51256281407035 nm -> Rup=0.13203749260761644, Rdown=0.018793483843000898
  λ=505.27638190954775 nm -> Rup=0.13091931488291073, Rdown=0.019638620705780145
  λ=508.04020100502515 nm -> Rup=0.12985581729650095, Rdown=0.02055337087354572
  λ=510.8040201005025 nm -> Rup=0.12883942281021907, Rdown=0.021532289630015793
  λ=513.5678391959799 nm -> Rup=0.12785839453639933, Rdown=0.022566106760693056
  λ=516.3316582914573 nm -> Rup=0.12691059934634796, Rdown=0.02365605720467469
  λ=519.0954773869347 nm -> Rup=0.12600605999653258, Rdown=0.02480738730562629
  λ=521.8592964824121 nm -> Rup=0.1251593424716878, Rdown=0.02602885432101675
  λ=524.6231155778894 nm -> Rup=0.12439647308793265, Rdown=0.027334742642181043
  λ=527.3869346733668 nm -> Rup=0.1237529656206102, Rdown=0.028753916675768407
  λ=530.1507537688442 nm -> Rup=0.12326916478017527, Rdown=0.030303160254571707
  λ=532.9145728643216 nm -> Rup=0.12298531193918856, Rdown=0.03200595610214844
  λ=535.678391959799 nm -> Rup=0.12293432975158101, Rdown=0.03387806500213855
  λ=538.4422110552764 nm -> Rup=0.12313934190762134, Rdown=0.03592758082136944
  λ=541.2060301507538 nm -> Rup=0.12360852747887868, Rdown=0.038146381636730994
  λ=543.9698492462312 nm -> Rup=0.12432968013036215, Rdown=0.040525664273324935
  λ=546.7336683417086 nm -> Rup=0.12527863445023202, Rdown=0.04303081876668847
  λ=549.4974874371859 nm -> Rup=0.12641071552159533, Rdown=0.0456402935579283
  λ=552.2613065326633 nm -> Rup=0.12767967379907158, Rdown=0.04831229678518526
  λ=555.0251256281407 nm -> Rup=0.12904052047407175, Rdown=0.05102014814423935
  λ=557.7889447236181 nm -> Rup=0.13045797115454125, Rdown=0.053763751586393044
  λ=560.5527638190955 nm -> Rup=0.1319288650171488, Rdown=0.05654572447234507
  λ=563.3165829145729 nm -> Rup=0.13348233800491482, Rdown=0.059406588723500305
  λ=566.0804020100503 nm -> Rup=0.1351817129061101, Rdown=0.062396012566097926
  λ=568.8442211055276 nm -> Rup=0.13710610613411306, Rdown=0.06558034834996251
  λ=571.608040201005 nm -> Rup=0.13933084259387285, Rdown=0.06900844990239345
  λ=574.3718592964824 nm -> Rup=0.1419100093690012, Rdown=0.07270533130298538
  λ=577.1356783919598 nm -> Rup=0.1448682082128029, Rdown=0.07666199905430138
  λ=579.8994974874372 nm -> Rup=0.14819456241236684, Rdown=0.08086506292912997
  λ=582.6633165829146 nm -> Rup=0.15185981394593664, Rdown=0.08527909504447084
  λ=585.427135678392 nm -> Rup=0.15582555517209457, Rdown=0.08985692949381338
  λ=588.1909547738694 nm -> Rup=0.16004802370547022, Rdown=0.09457191101420627
  λ=590.9547738693468 nm -> Rup=0.16448834476405644, Rdown=0.09939373889974586
  λ=593.7185929648241 nm -> Rup=0.16911337578871524, Rdown=0.1043000197614406
  λ=596.4824120603015 nm -> Rup=0.1738982647658445, Rdown=0.10926182930903018
  λ=599.2462311557789 nm -> Rup=0.17882164900677952, Rdown=0.1142787121714079
  λ=602.0100502512563 nm -> Rup=0.18386925686645034, Rdown=0.1193442660590612
  λ=604.7738693467337 nm -> Rup=0.18903282318656597, Rdown=0.12444317893666919
  λ=607.5376884422111 nm -> Rup=0.19430466028788976, Rdown=0.12958674935667638
  λ=610.3015075376884 nm -> Rup=0.19968150715510613, Rdown=0.13476051162438052
  λ=613.0653266331658 nm -> Rup=0.20515954572801118, Rdown=0.1399600749824448
  λ=615.8291457286432 nm -> Rup=0.21073200525514166, Rdown=0.14521192838015817
  λ=618.5929648241206 nm -> Rup=0.21639655740371863, Rdown=0.15048752570316176
  λ=621.356783919598 nm -> Rup=0.22214806517456986, Rdown=0.15579919447224438
  λ=624.1206030150754 nm -> Rup=0.22798317158507356, Rdown=0.16113983217202635
  λ=626.8844221105528 nm -> Rup=0.2338992277490876, Rdown=0.16651434606528934
  λ=629.6482412060302 nm -> Rup=0.2398964677031475, Rdown=0.17191944841058693
  λ=632.4120603015076 nm -> Rup=0.2459776236999354, Rdown=0.17736442317991732
  λ=635.1758793969849 nm -> Rup=0.2521490781059579, Rdown=0.18285580931515666
  λ=637.9396984924623 nm -> Rup=0.25842049555285834, Rdown=0.18838022760204032
  λ=640.7035175879397 nm -> Rup=0.26479789200687415, Rdown=0.19396565030630375
  λ=643.4673366834171 nm -> Rup=0.2712861200796612, Rdown=0.1995973709507902
  λ=646.2311557788945 nm -> Rup=0.27788235067002026, Rdown=0.20531341832789826
  λ=648.9949748743719 nm -> Rup=0.28458215777511664, Rdown=0.21107125948254973
  λ=651.7587939698492 nm -> Rup=0.2913769714293643, Rdown=0.21686940015129977
  λ=654.5226130653266 nm -> Rup=0.2982550187293552, Rdown=0.2227417968687303
  λ=657.286432160804 nm -> Rup=0.30520693051202574, Rdown=0.22864226734044463
  λ=660.0502512562814 nm -> Rup=0.3122187296446649, Rdown=0.23458390963004722
  λ=662.8140703517588 nm -> Rup=0.31927560506557773, Rdown=0.24055694424378346
  λ=665.5778894472362 nm -> Rup=0.32635615607177704, Rdown=0.24653527483834445
  λ=668.3417085427136 nm -> Rup=0.3334347915610957, Rdown=0.2525014292134045
  λ=671.105527638191 nm -> Rup=0.34047789068923506, Rdown=0.2584358908477772
  λ=673.8693467336684 nm -> Rup=0.34745434391470426, Rdown=0.26428937817160986
  λ=676.6331658291458 nm -> Rup=0.3543343041639375, Rdown=0.2700762473257079
