Simulation Summary - All Geometry/Material Combos
Timestamp: 20250319_132712
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 100

---- COMBINATIONS ----

Combo name: Geom_S2 - S2
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 3.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Custom', 'expression': '1.50**2'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'Standard', 'material': 'Al'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=450.0 nm -> Rup=0.19565551720296367, Rdown=0.22919353133828935
  λ=452.7638190954774 nm -> Rup=0.19707464283590154, Rdown=0.2298978692814417
  λ=455.52763819095475 nm -> Rup=0.19781291037656962, Rdown=0.22939217594368885
  λ=458.29145728643215 nm -> Rup=0.19835576376577646, Rdown=0.22776598044847868
  λ=461.05527638190955 nm -> Rup=0.1995214795856953, Rdown=0.22593954232741545
  λ=463.81909547738695 nm -> Rup=0.20206857225590819, Rdown=0.22536827955605407
  λ=466.5829145728643 nm -> Rup=0.20619144344215135, Rdown=0.22725377441535374
  λ=469.3467336683417 nm -> Rup=0.2112718070850136, Rdown=0.23174687481938167
  λ=472.1105527638191 nm -> Rup=0.2160840564940103, Rdown=0.2376645096663377
  λ=474.8743718592965 nm -> Rup=0.21929830943364523, Rdown=0.2428019741338637
  λ=477.63819095477385 nm -> Rup=0.22006037919230456, Rdown=0.24467217399581398
  λ=480.40201005025125 nm -> Rup=0.21858392002100474, Rdown=0.24165439331041105
  λ=483.16582914572865 nm -> Rup=0.21660024349439985, Rdown=0.23446613482700546
  λ=485.92964824120605 nm -> Rup=0.21707503815567333, Rdown=0.22695318052510713
  λ=488.6934673366834 nm -> Rup=0.22262405678508895, Rdown=0.22451024399465974
  λ=491.4572864321608 nm -> Rup=0.23355065871580963, Rdown=0.23064780475563126
  λ=494.2211055276382 nm -> Rup=0.24754692056366545, Rdown=0.24502005915332417
  λ=496.9849246231156 nm -> Rup=0.2610508423517986, Rdown=0.2640957366791064
  λ=499.74874371859295 nm -> Rup=0.27045781528086793, Rdown=0.2824682294818549
  λ=502.51256281407035 nm -> Rup=0.2726676014374049, Rdown=0.29347314727732493
  λ=505.27638190954775 nm -> Rup=0.266004273904995, Rdown=0.29011305510918395
  λ=508.04020100502515 nm -> Rup=0.25259703379629533, Rdown=0.26905389829326215
  λ=510.8040201005025 nm -> Rup=0.2408753142662999, Rdown=0.23816741878619394
  λ=513.5678391959799 nm -> Rup=0.24250209922930063, Rdown=0.21688974900349658
  λ=516.3316582914573 nm -> Rup=0.26183760773625825, Rdown=0.21978683668112037
  λ=519.0954773869347 nm -> Rup=0.29252102464602453, Rdown=0.24617951521743892
  λ=521.8592964824121 nm -> Rup=0.3258228796339805, Rdown=0.2879221514975382
  λ=524.6231155778894 nm -> Rup=0.3554015846182779, Rdown=0.3367487774895161
  λ=527.3869346733668 nm -> Rup=0.37608609898391626, Rdown=0.384733092194748
  λ=530.1507537688442 nm -> Rup=0.3812167909540336, Rdown=0.4203892214860435
  λ=532.9145728643216 nm -> Rup=0.3615952196610719, Rdown=0.42289780949819666
  λ=535.678391959799 nm -> Rup=0.3126642531733291, Rdown=0.3654416656252583
  λ=538.4422110552764 nm -> Rup=0.25552238441998837, Rdown=0.2566708530667602
  λ=541.2060301507538 nm -> Rup=0.24131771913514533, Rdown=0.18069194439127642
  λ=543.9698492462312 nm -> Rup=0.2837305080515362, Rdown=0.18411820759546138
  λ=546.7336683417086 nm -> Rup=0.34566407856960923, Rdown=0.23655310603724328
  λ=549.4974874371859 nm -> Rup=0.4064724604121773, Rdown=0.31141243846992933
