Simulation Summary - All Geometry/Material Combos
Timestamp: 20250318_185843
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 70

---- COMBINATIONS ----

Combo name: Geom_S1 - S1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 0.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 0.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=450.0 nm -> Rup=0.26531288920507573, Rdown=1.3379906176198177e-09
  λ=452.7638190954774 nm -> Rup=0.26995115542995407, Rdown=1.507432079778939e-09
  λ=455.52763819095475 nm -> Rup=0.27494242151148585, Rdown=1.6951243476305537e-09
  λ=458.29145728643215 nm -> Rup=0.2803314563348363, Rdown=1.9024919432226875e-09
  λ=461.05527638190955 nm -> Rup=0.2861566269879201, Rdown=2.1309749611603354e-09
  λ=463.81909547738695 nm -> Rup=0.2924493160865308, Rdown=2.3820120880855663e-09
  λ=466.5829145728643 nm -> Rup=0.29923353795235663, Rdown=2.657021748590198e-09
  λ=469.3467336683417 nm -> Rup=0.3065257164598708, Rdown=2.9573816592369692e-09
  λ=472.1105527638191 nm -> Rup=0.3143345484360416, Rdown=3.284407331167667e-09
  λ=474.8743718592965 nm -> Rup=0.322660925833619, Rdown=3.6393302765839783e-09
  λ=477.63819095477385 nm -> Rup=0.3314979387539379, Rdown=4.023276806084059e-09
  λ=480.40201005025125 nm -> Rup=0.3408309996549284, Rdown=4.4372483633552066e-09
