Simulation Summary - All Geometry/Material Combos
Timestamp: 20250314_165519
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 70

---- COMBINATIONS ----

Combo name: Geometry_1 - Config_1
Geometry:
{'thick_super': 200.0, 'width_reso': 30.0, 'thick_reso': 30.0, 'thick_gap': 3.0, 'thick_func': 1.0, 'thick_mol': 2.0, 'thick_metalliclayer': 10.0, 'thick_sub': 200.0, 'thick_accroche': 1.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_dielec', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Ag'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Au'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=450.0 nm -> Rup=0.27662328325911095, Rdown=0.24149926083941514
  λ=452.7638190954774 nm -> Rup=0.28418350276917503, Rdown=0.251212309383941
  λ=455.52763819095475 nm -> Rup=0.29191260051907425, Rdown=0.26119018066934657
  λ=458.29145728643215 nm -> Rup=0.29980472745349795, Rdown=0.27139945024248413
  λ=461.05527638190955 nm -> Rup=0.30785564491058814, Rdown=0.2817941642581041
  λ=463.81909547738695 nm -> Rup=0.316058891363867, Rdown=0.29239323047817145
  λ=466.5829145728643 nm -> Rup=0.3244097596484254, Rdown=0.3031471575943247
  λ=469.3467336683417 nm -> Rup=0.33290295322833463, Rdown=0.31403449253895416
  λ=472.1105527638191 nm -> Rup=0.34153169557122875, Rdown=0.3250559529197559
  λ=474.8743718592965 nm -> Rup=0.3502897663847329, Rdown=0.3361510771867254
  λ=477.63819095477385 nm -> Rup=0.35916878563164045, Rdown=0.3473585160275566
  λ=480.40201005025125 nm -> Rup=0.36816142393210477, Rdown=0.3586166459436143
  λ=483.16582914572865 nm -> Rup=0.3772582707372942, Rdown=0.3699274226131916
  λ=485.92964824120605 nm -> Rup=0.3864508477001603, Rdown=0.3812668350826837
  λ=488.6934673366834 nm -> Rup=0.3957312553946246, Rdown=0.3925551047293602
  λ=491.4572864321608 nm -> Rup=0.4050876389984928, Rdown=0.4038745211489653
  λ=494.2211055276382 nm -> Rup=0.41451191780436514, Rdown=0.41514051535028773
  λ=496.9849246231156 nm -> Rup=0.4239920684576996, Rdown=0.4264020819091224
  λ=499.74874371859295 nm -> Rup=0.4335220506039148, Rdown=0.43753206178073106
  λ=502.51256281407035 nm -> Rup=0.4430888166482221, Rdown=0.4486339581217243
  λ=505.27638190954775 nm -> Rup=0.4526841348503846, Rdown=0.4596526540304354
