Simulation Summary - All Geometry/Material Combos
Timestamp: 20250411_115039
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: test - test
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.5, 'thick_func': 1.0, 'thick_diel': 1.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 2.0, 'thick_accroche': 1.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'None'}}, {'key': 'perm_diel', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'None'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'None'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'None'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=450.0 nm -> Rup=0.00023678364078835097, Rdown=0.00023678364078835493
  λ=452.7638190954774 nm -> Rup=0.0002339038835744436, Rdown=0.00023390388357443745
  λ=455.52763819095475 nm -> Rup=0.00023107633073218755, Rdown=0.00023107633073218576
  λ=458.29145728643215 nm -> Rup=0.00022829972834143768, Rdown=0.00022829972834143892
  λ=461.05527638190955 nm -> Rup=0.0002255728598959928, Rdown=0.00022557285989599203
  λ=463.81909547738695 nm -> Rup=0.00022289454497228001, Rdown=0.00022289454497227674
  λ=466.5829145728643 nm -> Rup=0.00022026363795293852, Rdown=0.00022026363795294105
  λ=469.3467336683417 nm -> Rup=0.00021767902680279666, Rdown=0.00021767902680279759
  λ=472.1105527638191 nm -> Rup=0.0002151396318947092, Rdown=0.00021513963189471032
  λ=474.8743718592965 nm -> Rup=0.00021264440488306133, Rdown=0.00021264440488305935
  λ=477.63819095477385 nm -> Rup=0.00021019232762263445, Rdown=0.00021019232762263697
  λ=480.40201005025125 nm -> Rup=0.00020778241113083925, Rdown=0.00020778241113084304
  λ=483.16582914572865 nm -> Rup=0.00020541369459127812, Rdown=0.00020541369459128086
  λ=485.92964824120605 nm -> Rup=0.00020308524439680955, Rdown=0.0002030852443968132
  λ=488.6934673366834 nm -> Rup=0.00020079615323033081, Rdown=0.0002007961532303287
  λ=491.4572864321608 nm -> Rup=0.00019854553918154103, Rdown=0.00019854553918154168
  λ=494.2211055276382 nm -> Rup=0.00019633254489818207, Rdown=0.0001963325448981844
  λ=496.9849246231156 nm -> Rup=0.0001941563367701172, Rdown=0.00019415633677011542
  λ=499.74874371859295 nm -> Rup=0.0001920161041448665, Rdown=0.0001920161041448679
  λ=502.51256281407035 nm -> Rup=0.0001899110585732411, Rdown=0.00018991105857323696
  λ=505.27638190954775 nm -> Rup=0.00018784043308367948, Rdown=0.00018784043308368086
  λ=508.04020100502515 nm -> Rup=0.00018580348148416236, Rdown=0.00018580348148415952
  λ=510.8040201005025 nm -> Rup=0.00018379947769038026, Rdown=0.00018379947769037655
  λ=513.5678391959799 nm -> Rup=0.00018182771507915482, Rdown=0.00018182771507915888
  λ=516.3316582914573 nm -> Rup=0.00017988750586597896, Rdown=0.0001798875058659781
  λ=519.0954773869347 nm -> Rup=0.00017797818050560433, Rdown=0.00017797818050560455
  λ=521.8592964824121 nm -> Rup=0.00017609908711483074, Rdown=0.00017609908711483266
  λ=524.6231155778894 nm -> Rup=0.00017424959091644123, Rdown=0.00017424959091644508
  λ=527.3869346733668 nm -> Rup=0.00017242907370347446, Rdown=0.00017242907370347088
  λ=530.1507537688442 nm -> Rup=0.00017063693332293768, Rdown=0.00017063693332293396
  λ=532.9145728643216 nm -> Rup=0.00016887258317822997, Rdown=0.00016887258317823113
  λ=535.678391959799 nm -> Rup=0.0001671354517494356, Rdown=0.0001671354517494336
  λ=538.4422110552764 nm -> Rup=0.00016542498213077133, Rdown=0.0001654249821307682
  λ=541.2060301507538 nm -> Rup=0.00016374063158452977, Rdown=0.0001637406315845304
  λ=543.9698492462312 nm -> Rup=0.00016208187111081256, Rdown=0.00016208187111081508
  λ=546.7336683417086 nm -> Rup=0.0001604481850324289, Rdown=0.00016044818503242853
  λ=549.4974874371859 nm -> Rup=0.0001588390705943399, Rdown=0.0001588390705943401
