Simulation Summary - All Geometry/Material Combos
Timestamp: 20250430_120918
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: Structure 1 - Mat_Structure 1
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 1.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2', 'override': [300.0, 1000.0]}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2', 'override': [300.0, 1000.0]}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Rakic-BB', 'data': 'main/Ag/nk/Rakic-BB.yml', 'override': [247.97, 999.97]}}, {'key': 'perm_metalliclayer', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Rakic-BB', 'data': 'main/Au/nk/Rakic-BB.yml', 'override': [247.97, 999.97]}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO', 'override': [193.05, 1681.72]}}]
RI Overrides: {'perm_reso': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Rakic-BB', 'data': 'main/Ag/nk/Rakic-BB.yml', 'override': [247.97, 999.97]}, 'perm_metalliclayer': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Rakic-BB', 'data': 'main/Au/nk/Rakic-BB.yml', 'override': [247.97, 999.97]}}
Metrics:
  FWHM          : 119.3 nm
  Lam_res      : 776.9 nm
  S_lam        : 0.101 & 0.252
  Q-factor     : 6.5
  Score interne: 7.85e-05
Reflectance points (Rup, Rdown):
  λ=600.0 nm -> Rup=0.18034644022747523, Rdown=0.11573414988098765
  λ=602.0100502512563 nm -> Rup=0.18401599326999346, Rdown=0.11944204254294603
  λ=604.0201005025126 nm -> Rup=0.18774775949268496, Rdown=0.12316595373717351
  λ=606.0301507537688 nm -> Rup=0.19147756171069538, Rdown=0.1267977336201
  λ=608.0402010050251 nm -> Rup=0.195280275258634, Rdown=0.13047479328128786
  λ=610.0502512562814 nm -> Rup=0.19915667237367551, Rdown=0.13421185369755131
  λ=612.0603015075377 nm -> Rup=0.20310969850097543, Rdown=0.1379991657079953
  λ=614.070351758794 nm -> Rup=0.2071042567679111, Rdown=0.14180016792271743
  λ=616.0804020100502 nm -> Rup=0.2110923688402938, Rdown=0.14551917765529315
  λ=618.0904522613065 nm -> Rup=0.2151487351164283, Rdown=0.14928579318900323
  λ=620.1005025125628 nm -> Rup=0.2192724593645882, Rdown=0.15310032310819524
  λ=622.1105527638191 nm -> Rup=0.2234592124126558, Rdown=0.15698592957275928
  λ=624.1206030150754 nm -> Rup=0.22766430736309937, Rdown=0.1608412549365248
  λ=626.1306532663317 nm -> Rup=0.23183012940663777, Rdown=0.16460059036947935
  λ=628.1407035175879 nm -> Rup=0.2360466192973364, Rdown=0.16842136288496798
  λ=630.1507537688442 nm -> Rup=0.24031856747075683, Rdown=0.17225408356771102
  λ=632.1608040201005 nm -> Rup=0.24464585057701885, Rdown=0.1761510295250354
  λ=634.1708542713568 nm -> Rup=0.24899906968173263, Rdown=0.18004688465455035
  λ=636.1809045226131 nm -> Rup=0.25331804466659025, Rdown=0.1838514242607823
  λ=638.1909547738693 nm -> Rup=0.25770952579746553, Rdown=0.18769392271431343
  λ=640.2010050251256 nm -> Rup=0.26217984539871164, Rdown=0.19160633271076116
  λ=642.2110552763819 nm -> Rup=0.26673756542356736, Rdown=0.19557240339532098
  λ=644.2211055276382 nm -> Rup=0.2713661484710405, Rdown=0.19958455846028234
  λ=646.2311557788945 nm -> Rup=0.275944580660989, Rdown=0.20350798252436655
  λ=648.2412060301508 nm -> Rup=0.2806016902249021, Rdown=0.20747500465244426
  λ=650.251256281407 nm -> Rup=0.28532943307102077, Rdown=0.21148268300125722
  λ=652.2613065326633 nm -> Rup=0.290116705675636, Rdown=0.21555713725137868
