Simulation Summary - All Geometry/Material Combos
Timestamp: 20250402_115813
Wave parameters: {'angle': 0, 'polarization': 1, 'wavelength': np.float64(1000.0)}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: Geom_S1_diel=0_M=2_F=1 - Mat_S1_Tf=1_Pf=None_Pd=1.45**2
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 2.0, 'thick_func': 1.0, 'thick_diel': 0.0, 'thick_metalliclayer': 10.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'None'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'Standard', 'material': 'ITO'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=450.0 nm -> Rup=0.261239133370972, Rdown=1.3706807232775352e-09
  λ=452.7638190954774 nm -> Rup=0.2657557611626915, Rdown=1.5444677997410758e-09
  λ=455.52763819095475 nm -> Rup=0.27062618380599385, Rdown=1.737038792026562e-09
  λ=458.29145728643215 nm -> Rup=0.2758935653975013, Rdown=1.949881985823586e-09
  λ=461.05527638190955 nm -> Rup=0.28159575808074766, Rdown=2.184507851879966e-09
  λ=463.81909547738695 nm -> Rup=0.28776477636858266, Rdown=2.442431463585711e-09
  λ=466.5829145728643 nm -> Rup=0.2944262693133537, Rdown=2.7251526742916243e-09
  λ=469.3467336683417 nm -> Rup=0.30159902318122683, Rdown=3.034134477509518e-09
  λ=472.1105527638191 nm -> Rup=0.3092945285549139, Rdown=3.3707801520053115e-09
  λ=474.8743718592965 nm -> Rup=0.3175166472571322, Rdown=3.73640996870593e-09
  λ=477.63819095477385 nm -> Rup=0.32626141515690094, Rdown=4.132238383924728e-09
  λ=480.40201005025125 nm -> Rup=0.3355170154014437, Rdown=4.5593527341912505e-09
  λ=483.16582914572865 nm -> Rup=0.3452639514107149, Rdown=5.018694451179768e-09
  λ=485.92964824120605 nm -> Rup=0.35547543894434924, Rdown=5.5110437069679705e-09
  λ=488.6934673366834 nm -> Rup=0.366118021533424, Rdown=6.037008173369548e-09
  λ=491.4572864321608 nm -> Rup=0.3771523948766807, Rdown=6.597016253785331e-09
  λ=494.2211055276382 nm -> Rup=0.3885344065174163, Rdown=7.191314769925631e-09
  λ=496.9849246231156 nm -> Rup=0.4002161817623269, Rdown=7.819970725721388e-09
  λ=499.74874371859295 nm -> Rup=0.41214732031541845, Rdown=8.482876485865013e-09
  λ=502.51256281407035 nm -> Rup=0.4242761139388073, Rdown=9.179757507418449e-09
  λ=505.27638190954775 nm -> Rup=0.4365507532683746, Rdown=9.910181569623138e-09
  λ=508.04020100502515 nm -> Rup=0.4489205153570743, Rdown=1.0673568072450791e-08
  λ=510.8040201005025 nm -> Rup=0.4613369395190869, Rdown=1.1469195174492522e-08
  λ=513.5678391959799 nm -> Rup=0.4737549899589198, Rdown=1.2296201169781445e-08
  λ=516.3316582914573 nm -> Rup=0.48613415379152275, Rdown=1.3153574779772954e-08
  λ=519.0954773869347 nm -> Rup=0.49843932984148553, Rdown=1.4040127842921588e-08
  λ=521.8592964824121 nm -> Rup=0.5106412512923635, Rdown=1.495444487374632e-08
  λ=524.6231155778894 nm -> Rup=0.5227161136119655, Rdown=1.5894809112773576e-08
  λ=527.3869346733668 nm -> Rup=0.5346441338790247, Rdown=1.6859114975945415e-08
  λ=530.1507537688442 nm -> Rup=0.5464070180170227, Rdown=1.7844790254004132e-08
  λ=532.9145728643216 nm -> Rup=0.5579847408350473, Rdown=1.8848761847726732e-08
  λ=535.678391959799 nm -> Rup=0.569352490420073, Rdown=1.9867497655486033e-08
  λ=538.4422110552764 nm -> Rup=0.5804788271778428, Rdown=2.0897139027643582e-08
  λ=541.2060301507538 nm -> Rup=0.5913258445356725, Rdown=2.193370700296685e-08
  λ=543.9698492462312 nm -> Rup=0.6018514214706635, Rdown=2.2973335571556615e-08
  λ=546.7336683417086 nm -> Rup=0.6120128496932825, Rdown=2.401247314255513e-08
  λ=549.4974874371859 nm -> Rup=0.6217706457677893, Rdown=2.504800712267776e-08
  λ=552.2613065326633 nm -> Rup=0.6310914789178748, Rdown=2.607729870852514e-08
  λ=555.0251256281407 nm -> Rup=0.6399497127265271, Rdown=2.7098146931356916e-08
  λ=557.7889447236181 nm -> Rup=0.6483276489742135, Rdown=2.8108716261691295e-08
  λ=560.5527638190955 nm -> Rup=0.6562148661020845, Rdown=2.9107458874552552e-08
  λ=563.3165829145729 nm -> Rup=0.6636070686891486, Rdown=3.0093050910309603e-08
  λ=566.0804020100503 nm -> Rup=0.6705047637763353, Rdown=3.1064351210555254e-08
  λ=568.8442211055276 nm -> Rup=0.676911965999319, Rdown=3.2020384339642776e-08
  λ=571.608040201005 nm -> Rup=0.682835044384739, Rdown=3.2960346551122665e-08
  λ=574.3718592964824 nm -> Rup=0.6882817604960555, Rdown=3.3883631804717874e-08
  λ=577.1356783919598 nm -> Rup=0.6932604697649599, Rdown=3.478987469304101e-08
  λ=579.8994974874372 nm -> Rup=0.6977794167389026, Rdown=3.5679014746974655e-08
  λ=582.6633165829146 nm -> Rup=0.7018463411055984, Rdown=3.6551391337583806e-08
  λ=585.427135678392 nm -> Rup=0.705468770849892, Rdown=3.7407836201387636e-08
  λ=588.1909547738694 nm -> Rup=0.7086541948411833, Rdown=3.824969787854713e-08
  λ=590.9547738693468 nm -> Rup=0.711408262993574, Rdown=3.907886760459674e-08
  λ=593.7185929648241 nm -> Rup=0.7137315430899472, Rdown=3.989805130481909e-08
  λ=596.4824120603015 nm -> Rup=0.7156190786817498, Rdown=4.0711355189765804e-08
  λ=599.2462311557789 nm -> Rup=0.7170657710215483, Rdown=4.1524787716365513e-08
  λ=602.0100502512563 nm -> Rup=0.7180743836579416, Rdown=4.2346140744635855e-08
  λ=604.7738693467337 nm -> Rup=0.7186586724911701, Rdown=4.3184196133344024e-08
  λ=607.5376884422111 nm -> Rup=0.718836225080265, Rdown=4.404796727074282e-08
  λ=610.3015075376884 nm -> Rup=0.7186131902789658, Rdown=4.4947068182702486e-08
  λ=613.0653266331658 nm -> Rup=0.7179712859307977, Rdown=4.5893647852631045e-08
  λ=615.8291457286432 nm -> Rup=0.7168674940996056, Rdown=4.6904946805857575e-08
  λ=618.5929648241206 nm -> Rup=0.71524605920755, Rdown=4.800506238805153e-08
  λ=621.356783919598 nm -> Rup=0.713052900234714, Rdown=4.922564057805663e-08
  λ=624.1206030150754 nm -> Rup=0.7102457656902427, Rdown=5.060616343553166e-08
  λ=626.8844221105528 nm -> Rup=0.706802795587053, Rdown=5.2193689641338316e-08
  λ=629.6482412060302 nm -> Rup=0.7027331808171524, Rdown=5.4040695017021325e-08
  λ=632.4120603015076 nm -> Rup=0.6980842044137764, Rdown=5.620058866205005e-08
  λ=635.1758793969849 nm -> Rup=0.6929310262526851, Rdown=5.872364832290489e-08
  λ=637.9396984924623 nm -> Rup=0.6873412618330951, Rdown=6.165857691139793e-08
  λ=640.7035175879397 nm -> Rup=0.6813264824704528, Rdown=6.506298851723344e-08
  λ=643.4673366834171 nm -> Rup=0.6748118935860552, Rdown=6.901922453092108e-08
  λ=646.2311557788945 nm -> Rup=0.667650753028121, Rdown=7.364541370831534e-08
  λ=648.9949748743719 nm -> Rup=0.6596793173384745, Rdown=7.909312588839429e-08
  λ=651.7587939698492 nm -> Rup=0.6507796014735944, Rdown=8.553218711672963e-08
  λ=654.5226130653266 nm -> Rup=0.6409143984422542, Rdown=9.31325810635802e-08
  λ=657.286432160804 nm -> Rup=0.6301152805912165, Rdown=1.0205756591078778e-07
  λ=660.0502512562814 nm -> Rup=0.6184255461874405, Rdown=1.1247997775969037e-07
  λ=662.8140703517588 nm -> Rup=0.6058234391837837, Rdown=1.2462301479650464e-07
  λ=665.5778894472362 nm -> Rup=0.5921695994802599, Rdown=1.388087818645674e-07
  λ=668.3417085427136 nm -> Rup=0.577216640931837, Rdown=1.5548540603334952e-07
  λ=671.105527638191 nm -> Rup=0.560682922548724, Rdown=1.7521099751998353e-07
  λ=673.8693467336684 nm -> Rup=0.5423567134688604, Rdown=1.9859453950808473e-07
  λ=676.6331658291458 nm -> Rup=0.5221909335976581, Rdown=2.2620959614412787e-07
  λ=679.3969849246231 nm -> Rup=0.500364810685295, Rdown=2.5849949679141583e-07
  λ=682.1608040201005 nm -> Rup=0.47730011314879045, Rdown=2.9569486076573226e-07
  λ=684.9246231155779 nm -> Rup=0.45361686354616615, Rdown=3.377769423343187e-07
  λ=687.6884422110553 nm -> Rup=0.4300122768237192, Rdown=3.845347358720545e-07
  λ=690.4522613065327 nm -> Rup=0.40706995726215967, Rdown=4.357519755359994e-07
  λ=693.2160804020101 nm -> Rup=0.3850580671277712, Rdown=4.914970806230456e-07
  λ=695.9798994974874 nm -> Rup=0.3638198596987386, Rdown=5.523944827421148e-07
  λ=698.7437185929648 nm -> Rup=0.34284186824602303, Rdown=6.197078320600004e-07
  λ=701.5075376884422 nm -> Rup=0.3214940201171911, Rdown=6.951308060207502e-07
  λ=704.2713567839196 nm -> Rup=0.2993398612073062, Rdown=7.803226029021052e-07
  λ=707.035175879397 nm -> Rup=0.2763900275334124, Rdown=8.763323421117055e-07
  λ=709.7989949748744 nm -> Rup=0.253218454299892, Rdown=9.830734717681388e-07
  λ=712.5628140703518 nm -> Rup=0.2309217371043895, Rdown=1.0989763588091282e-06
  λ=715.3266331658292 nm -> Rup=0.21093903229360664, Rdown=1.2209200974380283e-06
  λ=718.0904522613066 nm -> Rup=0.19476874952963769, Rdown=1.3445228439601071e-06
  λ=720.854271356784 nm -> Rup=0.18363881568884075, Rdown=1.4648121539088243e-06
  λ=723.6180904522613 nm -> Rup=0.17821098129041682, Rdown=1.5771810525732645e-06
  λ=726.3819095477387 nm -> Rup=0.17840662151137981, Rdown=1.6784021200919185e-06
  λ=729.1457286432161 nm -> Rup=0.18341242495969245, Rdown=1.7674059670351309e-06
  λ=731.9095477386935 nm -> Rup=0.19186472004963376, Rdown=1.8455910209151246e-06
  λ=734.6733668341708 nm -> Rup=0.20215216633595504, Rdown=1.9165902759555565e-06
  λ=737.4371859296482 nm -> Rup=0.21274947924561693, Rdown=1.9855813304275457e-06
  λ=740.2010050251256 nm -> Rup=0.22250568465817028, Rdown=2.0583084394500143e-06
  λ=742.964824120603 nm -> Rup=0.23083982758964466, Rdown=2.1399864218277066e-06
  λ=745.7286432160804 nm -> Rup=0.23782194773440243, Rdown=2.234234705633123e-06
  λ=748.4924623115578 nm -> Rup=0.24412958491231965, Rdown=2.3422016040228213e-06
  λ=751.2562814070352 nm -> Rup=0.2508798868244109, Rdown=2.4620818899774235e-06
  λ=754.0201005025126 nm -> Rup=0.2593594401720986, Rdown=2.5892351413602965e-06
  λ=756.78391959799 nm -> Rup=0.27071009019866926, Rdown=2.7169936356988122e-06
  λ=759.5477386934674 nm -> Rup=0.285658891268331, Rdown=2.838002565594761e-06
  λ=762.3115577889448 nm -> Rup=0.30437477415061126, Rdown=2.9456901836960846e-06
  λ=765.0753768844222 nm -> Rup=0.32648540724627517, Rdown=3.03539944760634e-06
  λ=767.8391959798995 nm -> Rup=0.35122238630688957, Rdown=3.104887025352911e-06
  λ=770.6030150753769 nm -> Rup=0.3776217574198708, Rdown=3.1541880713978385e-06
  λ=773.3668341708543 nm -> Rup=0.4047082055373947, Rdown=3.1850681820400627e-06
  λ=776.1306532663317 nm -> Rup=0.4316216172106516, Rdown=3.2003426640833627e-06
  λ=778.894472361809 nm -> Rup=0.4576786922254383, Rdown=3.20327238436273e-06
  λ=781.6582914572864 nm -> Rup=0.4823835377760743, Rdown=3.1971334190650666e-06
  λ=784.4221105527638 nm -> Rup=0.5054076306031471, Rdown=3.184969188005489e-06
  λ=787.1859296482412 nm -> Rup=0.5265567500525892, Rdown=3.169488146704069e-06
  λ=789.9497487437186 nm -> Rup=0.5457365842246934, Rdown=3.1530582861583804e-06
  λ=792.713567839196 nm -> Rup=0.5629233229611368, Rdown=3.1377552797051273e-06
  λ=795.4773869346734 nm -> Rup=0.5781419146344776, Rdown=3.1254315500288568e-06
  λ=798.2412060301508 nm -> Rup=0.591452686523015, Rdown=3.1177821559764005e-06
  λ=801.0050251256282 nm -> Rup=0.6029461388907267, Rdown=3.1163879497263855e-06
  λ=803.7688442211056 nm -> Rup=0.6127452750718154, Rdown=3.1227173440331838e-06
  λ=806.532663316583 nm -> Rup=0.6210142192216974, Rdown=3.1380677024470496e-06
  λ=809.2964824120603 nm -> Rup=0.6279705805664411, Rdown=3.1634305585355634e-06
  λ=812.0603015075377 nm -> Rup=0.6338967939075375, Rdown=3.1992786283233663e-06
  λ=814.8241206030151 nm -> Rup=0.6391429613560395, Rdown=3.245303714953873e-06
  λ=817.5879396984925 nm -> Rup=0.6441122744888369, Rdown=3.300182025982204e-06
  λ=820.3517587939698 nm -> Rup=0.6492228010023874, Rdown=3.3614870115439835e-06
  λ=823.1155778894472 nm -> Rup=0.6548483473779846, Rdown=3.4258683645747666e-06
  λ=825.8793969849246 nm -> Rup=0.6612539053711575, Rdown=3.489532992263667e-06
  λ=828.643216080402 nm -> Rup=0.6685496466515314, Rdown=3.548917636841483e-06
  λ=831.4070351758794 nm -> Rup=0.6766829367180781, Rdown=3.601323982158091e-06
  λ=834.1708542713568 nm -> Rup=0.6854708258901557, Rdown=3.645292416862735e-06
  λ=836.9346733668342 nm -> Rup=0.6946573340152109, Rdown=3.6806236946530367e-06
  λ=839.6984924623116 nm -> Rup=0.7039726479958619, Rdown=3.70811912234401e-06
  λ=842.462311557789 nm -> Rup=0.7131770706910799, Rdown=3.7291957685565486e-06
  λ=845.2261306532664 nm -> Rup=0.72208388587705, Rdown=3.745520387280413e-06
  λ=847.9899497487438 nm -> Rup=0.7305642857537247, Rdown=3.758740572792102e-06
  λ=850.7537688442212 nm -> Rup=0.7385411498047233, Rdown=3.7703283146163225e-06
  λ=853.5175879396985 nm -> Rup=0.7459780186443131, Rdown=3.7815148374930054e-06
  λ=856.2814070351759 nm -> Rup=0.7528674965611902, Rdown=3.7932850607153877e-06
  λ=859.0452261306533 nm -> Rup=0.7592212208597279, Rdown=3.8064039407069324e-06
  λ=861.8090452261307 nm -> Rup=0.7650620955502803, Rdown=3.821455556824588e-06
  λ=864.572864321608 nm -> Rup=0.7704187126454201, Rdown=3.8388838190527e-06
  λ=867.3366834170854 nm -> Rup=0.7753215703361018, Rdown=3.8590294024123335e-06
  λ=870.1005025125628 nm -> Rup=0.7798006370815566, Rdown=3.882160994238853e-06
  λ=872.8643216080402 nm -> Rup=0.7838838630671441, Rdown=3.908500788654293e-06
  λ=875.6281407035176 nm -> Rup=0.7875963272608796, Rdown=3.938244995868772e-06
  λ=878.391959798995 nm -> Rup=0.7909597932166973, Rdown=3.9715804058026325e-06
  λ=881.1557788944724 nm -> Rup=0.7939925168320018, Rdown=4.008698039843044e-06
  λ=883.9195979899498 nm -> Rup=0.7967092026656543, Rdown=4.049804799903561e-06
  λ=886.6834170854272 nm -> Rup=0.7991210446955445, Rdown=4.095133858476216e-06
  λ=889.4472361809046 nm -> Rup=0.8012358163859783, Rdown=4.144954357269423e-06
  λ=892.211055276382 nm -> Rup=0.8030579973818842, Rdown=4.1995807969403444e-06
  λ=894.9748743718593 nm -> Rup=0.8045889433857398, Rdown=4.259382289873352e-06
  λ=897.7386934673367 nm -> Rup=0.8058271246397252, Rdown=4.324791580719419e-06
  λ=900.5025125628141 nm -> Rup=0.8067684793950856, Rdown=4.396313370756248e-06
  λ=903.2663316582915 nm -> Rup=0.8074069537144175, Rdown=4.4745309529743815e-06
  λ=906.0301507537688 nm -> Rup=0.8077353289390284, Rdown=4.560109405157564e-06
  λ=908.7939698492462 nm -> Rup=0.8077464721631112, Rdown=4.653792529620627e-06
  λ=911.5577889447236 nm -> Rup=0.8074351781135507, Rdown=4.756389337017244e-06
  λ=914.321608040201 nm -> Rup=0.8068007906336168, Rdown=4.8687442206810284e-06
  λ=917.0854271356784 nm -> Rup=0.8058507743043578, Rdown=4.991683366234784e-06
  λ=919.8492462311558 nm -> Rup=0.8046053112575813, Rdown=5.125929130012047e-06
  λ=922.6130653266332 nm -> Rup=0.8031027688835833, Rdown=5.271975489652234e-06
  λ=925.3768844221106 nm -> Rup=0.8014054644086026, Rdown=5.429923323104446e-06
  λ=928.140703517588 nm -> Rup=0.799604528891143, Rdown=5.599286537076276e-06
  λ=930.9045226130654 nm -> Rup=0.7978219563881601, Rdown=5.778799909871677e-06
  λ=933.6683417085428 nm -> Rup=0.796207439010258, Rdown=5.966283609315763e-06
  λ=936.4321608040202 nm -> Rup=0.7949278816987244, Rdown=6.158637026662283e-06
  λ=939.1959798994975 nm -> Rup=0.7941490976795941, Rdown=6.352028447570744e-06
  λ=941.9597989949749 nm -> Rup=0.7940121052532377, Rdown=6.542302137409987e-06
  λ=944.7236180904523 nm -> Rup=0.7946096254594922, Rdown=6.725544690577212e-06
  λ=947.4874371859297 nm -> Rup=0.7959698959179037, Rdown=6.898672020616038e-06
  λ=950.251256281407 nm -> Rup=0.7980532396410009, Rdown=7.0598673905208215e-06
  λ=953.0150753768844 nm -> Rup=0.8007623322610451, Rdown=7.208747920263004e-06
  λ=955.7788944723618 nm -> Rup=0.8039621928260993, Rdown=7.346239982696584e-06
  λ=958.5427135678392 nm -> Rup=0.8075032522920533, Rdown=7.474243999031462e-06
  λ=961.3065326633166 nm -> Rup=0.8112413896943637, Rdown=7.595216647168569e-06
  λ=964.070351758794 nm -> Rup=0.8150514836910587, Rdown=7.711785016131131e-06
  λ=966.8341708542714 nm -> Rup=0.8188339511247581, Rdown=7.826459092614896e-06
  λ=969.5979899497488 nm -> Rup=0.8225156720921911, Rdown=7.941458992517983e-06
  λ=972.3618090452262 nm -> Rup=0.82604737709936, Rdown=8.058640527343228e-06
  λ=975.1256281407036 nm -> Rup=0.8293993771758447, Rdown=8.179489660930063e-06
  λ=977.8894472361809 nm -> Rup=0.8325569587100651, Rdown=8.305157001699467e-06
  λ=980.6532663316583 nm -> Rup=0.8355161929721845, Rdown=8.436510248970888e-06
  λ=983.4170854271357 nm -> Rup=0.8382804805193277, Rdown=8.574190327544132e-06
  λ=986.1809045226131 nm -> Rup=0.84085788590523, Rdown=8.718663363110306e-06
  λ=988.9447236180905 nm -> Rup=0.8432591835202444, Rdown=8.870265051487719e-06
  λ=991.7085427135679 nm -> Rup=0.8454964846550582, Rdown=9.029236608051844e-06
  λ=994.4723618090453 nm -> Rup=0.8475823109804221, Rdown=9.195752860669606e-06
  λ=997.2361809045226 nm -> Rup=0.8495289956516288, Rdown=9.369943642955039e-06
  λ=1000.0 nm -> Rup=0.851348316499677, Rdown=9.551909781373003e-06
----------------------------------------
