Simulation Summary - All Geometry/Material Combos
Timestamp: 20250410_175721
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: Geom_S2_diel=0_M=0_F=1 - Mat_S2_Tf=1_Pf=None_Pd=1.45**2
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.0, 'thick_func': 1.0, 'thick_diel': 0.0, 'thick_metalliclayer': 10.0, 'thick_accroche': 3.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'None'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_accroche', 'material': {'type': 'Standard', 'material': 'Aluminium'}}, {'key': 'perm_sub', 'material': {'type': 'Custom', 'expression': '1.50**2'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=450.0 nm -> Rup=0.16724947198853898, Rdown=0.2464075297717665
  λ=452.7638190954774 nm -> Rup=0.16742460958143449, Rdown=0.2454986906577243
  λ=455.52763819095475 nm -> Rup=0.1677645945743802, Rdown=0.2446719842062696
  λ=458.29145728643215 nm -> Rup=0.16829955874190505, Rdown=0.24395699995060605
  λ=461.05527638190955 nm -> Rup=0.16905510172183136, Rdown=0.243382759425245
  λ=463.81909547738695 nm -> Rup=0.17005233457635852, Rdown=0.24297730628407965
  λ=466.5829145728643 nm -> Rup=0.17130790483133135, Rdown=0.24276734085426838
  λ=469.3467336683417 nm -> Rup=0.17283399430530938, Rdown=0.24277788931428074
  λ=472.1105527638191 nm -> Rup=0.17463828653860314, Rdown=0.2430319988242711
  λ=474.8743718592965 nm -> Rup=0.17672390521465034, Rdown=0.24355045231001757
  λ=477.63819095477385 nm -> Rup=0.17908932771300443, Rdown=0.24435149941419032
  λ=480.40201005025125 nm -> Rup=0.18172827822492202, Rdown=0.24545060246779138
  λ=483.16582914572865 nm -> Rup=0.18462960247245916, Rdown=0.24686019731094214
  λ=485.92964824120605 nm -> Rup=0.1877771212253258, Rdown=0.24858946768518705
  λ=488.6934673366834 nm -> Rup=0.1911494532157943, Rdown=0.25064412830855776
  λ=491.4572864321608 nm -> Rup=0.1947197908642281, Rdown=0.25302620561223127
  λ=494.2211055276382 nm -> Rup=0.19845560598903034, Rdown=0.25573379691548764
  λ=496.9849246231156 nm -> Rup=0.2023182591593677, Rdown=0.25876077947193993
  λ=499.74874371859295 nm -> Rup=0.20626248741685224, Rdown=0.26209643168144514
  λ=502.51256281407035 nm -> Rup=0.21023575246572193, Rdown=0.26572492144665266
  λ=505.27638190954775 nm -> Rup=0.21417744660751373, Rdown=0.26962461284978984
  λ=508.04020100502515 nm -> Rup=0.2180179780261493, Rdown=0.27376714361722154
  λ=510.8040201005025 nm -> Rup=0.2216777922173704, Rdown=0.2781162337582968
  λ=513.5678391959799 nm -> Rup=0.22506643537139326, Rdown=0.28262620232669344
  λ=516.3316582914573 nm -> Rup=0.2280818337604257, Rdown=0.28724019819607743
  λ=519.0954773869347 nm -> Rup=0.23061005912991786, Rdown=0.29188819943557115
  λ=521.8592964824121 nm -> Rup=0.23252598399932037, Rdown=0.29648491732079313
  λ=524.6231155778894 nm -> Rup=0.23369540898050958, Rdown=0.30092787458372916
  λ=527.3869346733668 nm -> Rup=0.23397945535176093, Rdown=0.3050961353553254
  λ=530.1507537688442 nm -> Rup=0.23324220408170027, Rdown=0.30885045791008187
  λ=532.9145728643216 nm -> Rup=0.23136258379938698, Rdown=0.31203598861137194
  λ=535.678391959799 nm -> Rup=0.2282510909362554, Rdown=0.31448887895941213
  λ=538.4422110552764 nm -> Rup=0.22387069110727822, Rdown=0.31604807220924463
  λ=541.2060301507538 nm -> Rup=0.21825899862007647, Rdown=0.3165725055287515
  λ=543.9698492462312 nm -> Rup=0.21154616635390178, Rdown=0.31596185483105615
  λ=546.7336683417086 nm -> Rup=0.2039617474651973, Rdown=0.3141764254902094
  λ=549.4974874371859 nm -> Rup=0.19582617148690237, Rdown=0.31125076733232393
  λ=552.2613065326633 nm -> Rup=0.1875276757480839, Rdown=0.3072974299952353
