Simulation Summary - All Geometry/Material Combos
Timestamp: 20250410_175429
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: Geom_S2_func=1 - Mat_S2_func=1.45**2
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 3.0, 'thick_mol': 0.0, 'thick_func': 1.0, 'thick_diel': 0.0, 'thick_metalliclayer': 10.0, 'thick_accroche': 3.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'None'}}, {'key': 'perm_func', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_accroche', 'material': {'type': 'Standard', 'material': 'Aluminium'}}, {'key': 'perm_sub', 'material': {'type': 'Custom', 'expression': '1.50**2'}}]
RI Overrides: {}
Reflectance points (Rup, Rdown):
  λ=450.0 nm -> Rup=0.1944511913593655, Rdown=0.2270830332536573
  λ=452.7638190954774 nm -> Rup=0.1961999190081052, Rdown=0.2274052164025822
  λ=455.52763819095475 nm -> Rup=0.19796810811311624, Rdown=0.2277940179881621
  λ=458.29145728643215 nm -> Rup=0.19978773770407593, Rdown=0.22825941358419083
  λ=461.05527638190955 nm -> Rup=0.20168969747475798, Rdown=0.22881236372253053
  λ=463.81909547738695 nm -> Rup=0.20370361598915232, Rdown=0.22946471759518478
  λ=466.5829145728643 nm -> Rup=0.20585763006602198, Rdown=0.23022908357990418
  λ=469.3467336683417 nm -> Rup=0.2081781022484702, Rdown=0.2311186576900317
  λ=472.1105527638191 nm -> Rup=0.21068929810541567, Rdown=0.23214700414188386
  λ=474.8743718592965 nm -> Rup=0.2134130407071732, Rdown=0.2333277868086948
  λ=477.63819095477385 nm -> Rup=0.21636836495537698, Rdown=0.23467445619242353
  λ=480.40201005025125 nm -> Rup=0.21957119830458918, Rdown=0.23619990308579203
  λ=483.16582914572865 nm -> Rup=0.22303409560756504, Rdown=0.23791609634664043
  λ=485.92964824120605 nm -> Rup=0.22676605352801618, Rdown=0.23983372699867403
  λ=488.6934673366834 nm -> Rup=0.23077242406046491, Rdown=0.24196188311319483
  λ=491.4572864321608 nm -> Rup=0.23505493793008714, Rdown=0.2443077789151158
  λ=494.2211055276382 nm -> Rup=0.23961183869411337, Rdown=0.2468765572862652
  λ=496.9849246231156 nm -> Rup=0.24443811954815697, Rdown=0.2496711781670717
  λ=499.74874371859295 nm -> Rup=0.2495258495704412, Rdown=0.2526923979705033
  λ=502.51256281407035 nm -> Rup=0.2548645760405754, Rdown=0.25593883918361704
  λ=505.27638190954775 nm -> Rup=0.260441794411089, Rdown=0.2594071468023605
  λ=508.04020100502515 nm -> Rup=0.2662434846908239, Rdown=0.26309222989582487
  λ=510.8040201005025 nm -> Rup=0.2722547166835648, Rdown=0.2669875909548777
  λ=513.5678391959799 nm -> Rup=0.2784603189135646, Rdown=0.2710857483329895
  λ=516.3316582914573 nm -> Rup=0.2848455800182443, Rdown=0.2753787510652306
  λ=519.0954773869347 nm -> Rup=0.2913969053042621, Rdown=0.27985876346029104
  λ=521.8592964824121 nm -> Rup=0.2981022952700655, Rdown=0.2845186565292838
  λ=524.6231155778894 nm -> Rup=0.30495147361875474, Rdown=0.28935249305975574
  λ=527.3869346733668 nm -> Rup=0.31193550825785993, Rdown=0.29435575669354674
  λ=530.1507537688442 nm -> Rup=0.3190458719851848, Rdown=0.29952518654082716
  λ=532.9145728643216 nm -> Rup=0.32627307447680864, Rdown=0.30485816225898515
  λ=535.678391959799 nm -> Rup=0.3336051988368145, Rdown=0.3103517291473142
  λ=538.4422110552764 nm -> Rup=0.3410267870776731, Rdown=0.31600150116529563
  λ=541.2060301507538 nm -> Rup=0.34851845251487695, Rdown=0.321800753417682
  λ=543.9698492462312 nm -> Rup=0.356057354215949, Rdown=0.32773996671741884
  λ=546.7336683417086 nm -> Rup=0.363618355171033, Rdown=0.3338069329642248
  λ=549.4974874371859 nm -> Rup=0.3711754617740317, Rdown=0.3399873427801321
  λ=552.2613065326633 nm -> Rup=0.3787031247210909, Rdown=0.3462656403164521
