Simulation Summary - All Geometry/Material Combos
Timestamp: 20250428_155712
Wave parameters: {'angle': 0, 'polarization': 1}
---- COMBINATIONS ----

Combo name: c30_g6_m10 - Mat_S1
  Number of RCWA modes: 15
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 6.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 6.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2', 'override': [300.0, 1000.0]}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2', 'override': [300.0, 1000.0]}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Rakic-BB', 'data': 'main/Ag/nk/Rakic-BB.yml', 'override': [299.97, 999.97]}}, {'key': 'perm_metalliclayer', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Rakic-BB', 'data': 'main/Au/nk/Rakic-BB.yml', 'override': [299.97, 999.97]}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Franta', 'data': 'main/SiO2/nk/Franta.yml', 'override': [209.797, 6699.797]}}]
RI Overrides: {'perm_reso': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Rakic-BB', 'data': 'main/Ag/nk/Rakic-BB.yml', 'override': [299.97, 999.97]}, 'perm_metalliclayer': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Rakic-BB', 'data': 'main/Au/nk/Rakic-BB.yml', 'override': [299.97, 999.97]}, 'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Franta', 'data': 'main/SiO2/nk/Franta.yml', 'override': [209.797, 6699.797]}}
Metrics:
  FWHM          : 1.2 nm
  Lam_res      : 674.4 nm
  S_lam        : 0.003 & 0.001
  Q-factor     : 550.7
  Score interne: 9.39e-12
Reflectance points (Rup, Rdown):
  λ=600.0 nm -> Rup=0.16652754829235775, Rdown=0.1510463689870246
  λ=602.0100502512563 nm -> Rup=0.17219410030832755, Rdown=0.15778072940482432
  λ=604.0201005025126 nm -> Rup=0.17788046273975042, Rdown=0.16464548506231774
  λ=606.0301507537688 nm -> Rup=0.18333646748169952, Rdown=0.17135522316799978
  λ=608.0402010050251 nm -> Rup=0.18876264890699, Rdown=0.17818367111627087
  λ=610.0502512562814 nm -> Rup=0.19410235176806914, Rdown=0.18508947695745473
  λ=612.0603015075377 nm -> Rup=0.1992839824461809, Rdown=0.1920169760471691
  λ=614.070351758794 nm -> Rup=0.20410855703319986, Rdown=0.19875604084699142
  λ=616.0804020100502 nm -> Rup=0.20830499137012018, Rdown=0.2050118298278762
  λ=618.0904522613065 nm -> Rup=0.21199168506145832, Rdown=0.21097090095650298
  λ=620.1005025125628 nm -> Rup=0.2150231643687945, Rdown=0.21649612873131022
  λ=622.1105527638191 nm -> Rup=0.2172352632071819, Rdown=0.2214262036884741
  λ=624.1206030150754 nm -> Rup=0.21833621530781788, Rdown=0.22542628634477335
  λ=626.1306532663317 nm -> Rup=0.2180441785495848, Rdown=0.2281475955946003
  λ=628.1407035175879 nm -> Rup=0.21643426176771152, Rdown=0.22971047882012452
  λ=630.1507537688442 nm -> Rup=0.21337015627032055, Rdown=0.22993724539342977
  λ=632.1608040201005 nm -> Rup=0.20875836726230246, Rdown=0.22867874936254085
  λ=634.1708542713568 nm -> Rup=0.20251662511937382, Rdown=0.22575224811185027
  λ=636.1809045226131 nm -> Rup=0.19464822344164448, Rdown=0.22102570117346673
  λ=638.1909547738693 nm -> Rup=0.1854185989917967, Rdown=0.21477738881992103
  λ=640.2010050251256 nm -> Rup=0.1749878048985928, Rdown=0.20709884465093828
  λ=642.2110552763819 nm -> Rup=0.16354531147873522, Rdown=0.19811919097080194
  λ=644.2211055276382 nm -> Rup=0.15131550979875552, Rdown=0.1879968583555961
  λ=646.2311557788945 nm -> Rup=0.13863135847048702, Rdown=0.17694908147219324
  λ=648.2412060301508 nm -> Rup=0.1256704925752456, Rdown=0.16522600328701578
  λ=650.251256281407 nm -> Rup=0.11267713758906386, Rdown=0.15305117084575498
  λ=652.2613065326633 nm -> Rup=0.09991947092051236, Rdown=0.14068279070226644
  λ=654.2713567839196 nm -> Rup=0.08765685359817614, Rdown=0.12838252374260312
  λ=656.2814070351759 nm -> Rup=0.07632622973767199, Rdown=0.11656616053047561
  λ=658.2914572864322 nm -> Rup=0.06600400878743463, Rdown=0.10539618354423894
  λ=660.3015075376884 nm -> Rup=0.056845509334840144, Rdown=0.09507723599033607
  λ=662.3115577889447 nm -> Rup=0.04896471438260288, Rdown=0.08577592929915283
  λ=664.321608040201 nm -> Rup=0.042419631581565205, Rdown=0.07760849331209484
  λ=666.3316582914573 nm -> Rup=0.03726831059919041, Rdown=0.07068497957572398
  λ=668.3417085427136 nm -> Rup=0.03341416522553562, Rdown=0.06496706510123501
  λ=670.3517587939698 nm -> Rup=0.030720891689569693, Rdown=0.06036521513555853
  λ=672.3618090452261 nm -> Rup=0.029085937210013114, Rdown=0.056813250473025406
  λ=674.3718592964824 nm -> Rup=0.028397154963304194, Rdown=0.05422855981351853
  λ=676.3819095477387 nm -> Rup=0.028547593486323745, Rdown=0.05252959515571463
  λ=678.391959798995 nm -> Rup=0.029432742477115824, Rdown=0.05163520196733189
  λ=680.4020100502512 nm -> Rup=0.030911912608394657, Rdown=0.0514088645296819
  λ=682.4120603015075 nm -> Rup=0.032892767263465336, Rdown=0.0517661280825501
  λ=684.4221105527638 nm -> Rup=0.03529180813097844, Rdown=0.052628485246262374
  λ=686.4321608040201 nm -> Rup=0.038034253623087245, Rdown=0.05392387040651093
  λ=688.4422110552764 nm -> Rup=0.04104291559461177, Rdown=0.055579411628987024
  λ=690.4522613065326 nm -> Rup=0.04425410837367646, Rdown=0.05752880032091399
  λ=692.4623115577889 nm -> Rup=0.04762065675183152, Rdown=0.059720634985282864
  λ=694.4723618090452 nm -> Rup=0.05109934160024127, Rdown=0.06210791991024645
  λ=696.4824120603015 nm -> Rup=0.05465090410143761, Rdown=0.0646472543116016
  λ=698.4924623115578 nm -> Rup=0.05823738065542374, Rdown=0.06729535723432888
  λ=700.5025125628141 nm -> Rup=0.06180720122190564, Rdown=0.06999373891131486
  λ=702.5125628140704 nm -> Rup=0.06536285766637667, Rdown=0.07273518565643648
  λ=704.5226130653266 nm -> Rup=0.06889059039422908, Rdown=0.07549645736478615
  λ=706.5326633165829 nm -> Rup=0.07238617790296202, Rdown=0.07826236877173948
  λ=708.5427135678392 nm -> Rup=0.07585334095816665, Rdown=0.08102566300835667
  λ=710.5527638190955 nm -> Rup=0.07928042103421534, Rdown=0.08376393748345176
  λ=712.5628140703518 nm -> Rup=0.08267972690973428, Rdown=0.08648064830054553
  λ=714.572864321608 nm -> Rup=0.08609361447042103, Rdown=0.08921329879816466
  λ=716.5829145728643 nm -> Rup=0.08953910086244261, Rdown=0.09197670211118507
  λ=718.5929648241206 nm -> Rup=0.09302731401054794, Rdown=0.09478370975520402
  λ=720.6030150753769 nm -> Rup=0.09656651042144886, Rdown=0.0976447815031093
  λ=722.6130653266332 nm -> Rup=0.10012817292230612, Rdown=0.10053318401004112
  λ=724.6231155778894 nm -> Rup=0.10372564135862486, Rdown=0.10346765548122197
  λ=726.6331658291457 nm -> Rup=0.10736360959195304, Rdown=0.10645788493892451
  λ=728.643216080402 nm -> Rup=0.11103327439588187, Rdown=0.1094985336266053
  λ=730.6532663316583 nm -> Rup=0.11472518314957446, Rdown=0.11258270407299584
  λ=732.6633165829146 nm -> Rup=0.11842783101192784, Rdown=0.11570143912640447
  λ=734.6733668341708 nm -> Rup=0.12209484629167976, Rdown=0.11880513655924921
  λ=736.6834170854271 nm -> Rup=0.12575272572827864, Rdown=0.12192272022627301
  λ=738.6934673366834 nm -> Rup=0.12940135395284483, Rdown=0.12505428309071845
  λ=740.7035175879397 nm -> Rup=0.13303599046003292, Rdown=0.12819449493263102
  λ=742.713567839196 nm -> Rup=0.13665290012079717, Rdown=0.13133881220762375
  λ=744.7236180904522 nm -> Rup=0.14024921219925285, Rdown=0.13448342180578912
  λ=746.7336683417085 nm -> Rup=0.14378411957485898, Rdown=0.1375826924945433
  λ=748.7437185929648 nm -> Rup=0.1472906139450354, Rdown=0.14067191202775317
  λ=750.7537688442211 nm -> Rup=0.1507713017976853, Rdown=0.14375284816629127
  λ=752.7638190954774 nm -> Rup=0.15422549319315726, Rdown=0.14682385253907593
  λ=754.7738693467336 nm -> Rup=0.15765277239048617, Rdown=0.1498836009631884
  λ=756.78391959799 nm -> Rup=0.16105292917479708, Rdown=0.15293103191773155
  λ=758.7939698492462 nm -> Rup=0.16438574973855521, Rdown=0.15592112643402606
  λ=760.8040201005025 nm -> Rup=0.1676853604636265, Rdown=0.1588906457946146
  λ=762.8140703517588 nm -> Rup=0.1709559431704683, Rdown=0.16184392745571138
  λ=764.824120603015 nm -> Rup=0.17419949081268238, Rdown=0.16478190196060122
  λ=766.8341708542714 nm -> Rup=0.17741616454339706, Rdown=0.16770418402112788
  λ=768.8442211055276 nm -> Rup=0.1806061042934643, Rdown=0.17061041889891573
  λ=770.8542713567839 nm -> Rup=0.18374243977631574, Rdown=0.17346989811117156
  λ=772.8643216080402 nm -> Rup=0.18684247962748907, Rdown=0.1763015762153692
  λ=774.8743718592965 nm -> Rup=0.18991572516132385, Rdown=0.17911577545187896
  λ=776.8844221105528 nm -> Rup=0.19296131405755676, Rdown=0.18191149024262043
  λ=778.894472361809 nm -> Rup=0.19597948127770445, Rdown=0.1846885417288582
  λ=780.9045226130653 nm -> Rup=0.1989702278671171, Rdown=0.1874465751417397
  λ=782.9145728643216 nm -> Rup=0.20191440898056465, Rdown=0.19016395771874273
  λ=784.9246231155779 nm -> Rup=0.20481139371441526, Rdown=0.1928397028646922
  λ=786.9346733668342 nm -> Rup=0.20767927411671325, Rdown=0.19549382037354798
  λ=788.9447236180904 nm -> Rup=0.21051743484144236, Rdown=0.19812538127240822
  λ=790.9547738693467 nm -> Rup=0.21332529353149435, Rdown=0.200733435883101
  λ=792.964824120603 nm -> Rup=0.21610170358065692, Rdown=0.20331653710930836
  λ=794.9748743718593 nm -> Rup=0.21884235258376059, Rdown=0.20586899283576995
  λ=796.9849246231156 nm -> Rup=0.22152488226602263, Rdown=0.20836494836663413
