Simulation Summary - All Geometry/Material Combos
Timestamp: 20250415_143613
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 60

---- COMBINATIONS ----

Combo name: c30_g2_m50 - Mat_S1
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 2.0, 'thick_metalliclayer': 50.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Werner-DFT', 'data': 'main/Ag/nk/Werner-DFT.yml'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Werner-DFT', 'data': 'main/Au/nk/Werner-DFT.yml'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}]
RI Overrides: {'perm_reso': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Werner-DFT', 'data': 'main/Ag/nk/Werner-DFT.yml'}, 'perm_metalliclayer': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Werner-DFT', 'data': 'main/Au/nk/Werner-DFT.yml'}, 'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}
Reflectance points (Rup, Rdown):
  λ=300.0 nm -> Rup=0.1628310892541104, Rdown=0.260116886745744
  λ=303.76884422110555 nm -> Rup=0.16945046472446573, Rdown=0.2633557049906048
  λ=307.53768844221105 nm -> Rup=0.17602184921074251, Rdown=0.26660163712640805
  λ=311.3065326633166 nm -> Rup=0.18230989562865985, Rdown=0.2693481132237093
  λ=315.0753768844221 nm -> Rup=0.18817612625732025, Rdown=0.27119537380156966
  λ=318.84422110552765 nm -> Rup=0.19405421498804065, Rdown=0.27303954425309557
  λ=322.61306532663315 nm -> Rup=0.19993777190599418, Rdown=0.27487986597064484
  λ=326.3819095477387 nm -> Rup=0.2058206358797244, Rdown=0.2767136320294572
  λ=330.1507537688442 nm -> Rup=0.21169687257759406, Rdown=0.27854487790242083
  λ=333.91959798994975 nm -> Rup=0.21724908905332216, Rdown=0.2803405455474324
  λ=337.6884422110553 nm -> Rup=0.22274649857664958, Rdown=0.28211937012892535
  λ=341.4572864321608 nm -> Rup=0.22823255101013706, Rdown=0.2838820072691411
  λ=345.22613065326635 nm -> Rup=0.23370589468101854, Rdown=0.28562502209722046
  λ=348.99497487437185 nm -> Rup=0.23916564279252459, Rdown=0.28735157302144626
  λ=352.7638190954774 nm -> Rup=0.2446113638543101, Rdown=0.28906334853123195
  λ=356.5326633165829 nm -> Rup=0.24918850671853982, Rdown=0.29032743629244384
  λ=360.30150753768845 nm -> Rup=0.2531591125321503, Rdown=0.2912923321954996
  λ=364.070351758794 nm -> Rup=0.2570633210652474, Rdown=0.29223805569994804
  λ=367.8391959798995 nm -> Rup=0.26090073848349443, Rdown=0.2931648859932835
  λ=371.608040201005 nm -> Rup=0.2646712011317325, Rdown=0.29407216622317267
  λ=375.37688442211055 nm -> Rup=0.2683747945858958, Rdown=0.29495534578390803
  λ=379.1457286432161 nm -> Rup=0.2720118854876285, Rdown=0.2958150533479961
  λ=382.9145728643216 nm -> Rup=0.2750252585216985, Rdown=0.29674551299145585
  λ=386.68341708542715 nm -> Rup=0.27683600292887806, Rdown=0.2977835021048157
  λ=390.45226130653265 nm -> Rup=0.2782369880236784, Rdown=0.29876713364245067
  λ=394.2211055276382 nm -> Rup=0.27919236654003304, Rdown=0.299701533982382
  λ=397.9899497487437 nm -> Rup=0.2796632421956588, Rdown=0.3005882274552529
  λ=401.75879396984925 nm -> Rup=0.2796087205018131, Rdown=0.3014258775709627
  λ=405.5276381909548 nm -> Rup=0.278988280915004, Rdown=0.3022203355865986
  λ=409.2964824120603 nm -> Rup=0.27776641084800735, Rdown=0.30297164119035985
  λ=413.06532663316585 nm -> Rup=0.27592113121580125, Rdown=0.30368519087921664
  λ=416.83417085427135 nm -> Rup=0.26914861464250517, Rdown=0.30589914229216575
  λ=420.6030150753769 nm -> Rup=0.26205565955899274, Rdown=0.30824034886475526
  λ=424.3718592964824 nm -> Rup=0.25503729155668714, Rdown=0.31063307222604875
  λ=428.14070351758795 nm -> Rup=0.24844742925091537, Rdown=0.31310874774880215
  λ=431.9095477386935 nm -> Rup=0.24334902415763995, Rdown=0.3157065338999679
  λ=435.678391959799 nm -> Rup=0.2420049259066068, Rdown=0.3184239038889709
  λ=439.4472361809045 nm -> Rup=0.2472824971836338, Rdown=0.3211578080221844
  λ=443.21608040201005 nm -> Rup=0.26051220894734495, Rdown=0.32370339445220814
  λ=446.9849246231156 nm -> Rup=0.2800991910002383, Rdown=0.3258802980473639
  λ=450.7537688442211 nm -> Rup=0.30277522584681316, Rdown=0.32763901252963984
  λ=454.5226130653266 nm -> Rup=0.3165541513642082, Rdown=0.3287534308240548
  λ=458.2914572864322 nm -> Rup=0.32828436962805246, Rdown=0.32980832726521586
  λ=462.0603015075377 nm -> Rup=0.338346390781379, Rdown=0.33083901970956864
  λ=465.8291457286432 nm -> Rup=0.34690851415796436, Rdown=0.331869844263421
  λ=469.59798994974875 nm -> Rup=0.3541403323356758, Rdown=0.33290870760837743
  λ=473.3668341708543 nm -> Rup=0.3602058457169679, Rdown=0.3339646207357736
  λ=477.1356783919598 nm -> Rup=0.3652601153341278, Rdown=0.3350421836382849
  λ=480.9045226130653 nm -> Rup=0.3694506843490614, Rdown=0.3361406927840084
  λ=484.67336683417085 nm -> Rup=0.3729181854561226, Rdown=0.3372617834240087
  λ=488.4422110552764 nm -> Rup=0.37578670657284036, Rdown=0.3384038601604063
  λ=492.2110552763819 nm -> Rup=0.3781543928294727, Rdown=0.33956522623429786
  λ=495.97989949748745 nm -> Rup=0.38009427785081407, Rdown=0.3407521033296343
  λ=499.748743718593 nm -> Rup=0.3816081811921602, Rdown=0.34262715905461755
  λ=503.5175879396985 nm -> Rup=0.38298654546229655, Rdown=0.3445157531215366
  λ=507.286432160804 nm -> Rup=0.38425451649671627, Rdown=0.34641827848173035
  λ=511.05527638190955 nm -> Rup=0.3854345452862173, Rdown=0.3483338344372096
  λ=514.8241206030151 nm -> Rup=0.3865467383205061, Rdown=0.3502582326878448
  λ=518.5929648241206 nm -> Rup=0.3876090471058734, Rdown=0.35219530200630256
  λ=522.3618090452261 nm -> Rup=0.3886374835611714, Rdown=0.3541416789171524
  λ=526.1306532663317 nm -> Rup=0.3896462940497778, Rdown=0.3560948920550393
  λ=529.8994974874372 nm -> Rup=0.3906481327234441, Rdown=0.35805543640915083
  λ=533.6683417085427 nm -> Rup=0.3916540607480985, Rdown=0.360023421946259
  λ=537.4371859296482 nm -> Rup=0.3926737745297977, Rdown=0.36199820236708513
  λ=541.2060301507538 nm -> Rup=0.3937157008791461, Rdown=0.36397788054521585
  λ=544.9748743718593 nm -> Rup=0.39478709777639803, Rdown=0.3659650298678844
  λ=548.7437185929648 nm -> Rup=0.3958941124012105, Rdown=0.36796060027014243
  λ=552.5125628140704 nm -> Rup=0.3986571979149823, Rdown=0.37158499188270305
  λ=556.2814070351759 nm -> Rup=0.4041122894287956, Rdown=0.37786915247008857
  λ=560.0502512562814 nm -> Rup=0.409793822557011, Rdown=0.3843459961675095
  λ=563.819095477387 nm -> Rup=0.4157029514132801, Rdown=0.3910246790132173
  λ=567.5879396984924 nm -> Rup=0.4218411522415443, Rdown=0.3979117683586441
  λ=571.356783919598 nm -> Rup=0.4282101778551737, Rdown=0.40501899520001744
  λ=575.1256281407035 nm -> Rup=0.4348131311950616, Rdown=0.4123556526586657
  λ=578.894472361809 nm -> Rup=0.4416516175534181, Rdown=0.4199307443162618
  λ=582.6633165829146 nm -> Rup=0.44872836779840664, Rdown=0.42775379381431705
  λ=586.4321608040201 nm -> Rup=0.45604777228761645, Rdown=0.43583362974829104
  λ=590.2010050251256 nm -> Rup=0.4636113778916411, Rdown=0.44417692513781154
  λ=593.9698492462312 nm -> Rup=0.4714225403137005, Rdown=0.4527944621126245
  λ=597.7386934673367 nm -> Rup=0.47948877016069325, Rdown=0.46169487673073
  λ=601.5075376884422 nm -> Rup=0.4878140561397624, Rdown=0.47088909912427934
  λ=605.2763819095478 nm -> Rup=0.496400106090179, Rdown=0.4803842002536855
  λ=609.0452261306532 nm -> Rup=0.5052550514453034, Rdown=0.490182345116314
  λ=612.8140703517588 nm -> Rup=0.5143900904645482, Rdown=0.500298575377464
  λ=616.5829145728644 nm -> Rup=0.523810043948111, Rdown=0.5107416389418272
