Simulation Summary - All Geometry/Material Combos
Timestamp: 20250411_153859
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 10

---- COMBINATIONS ----

Combo name: c30_g2_m10 - Mat_S1
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 2.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'Standard', 'material': 'Air'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'Standard', 'material': 'Silver'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'Standard', 'material': 'Gold'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}]
RI Overrides: {'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}
Reflectance points (Rup, Rdown):
  λ=700.0 nm -> Rup=0.34825153205986903, Rdown=0.32406762041178194
  λ=701.5075376884422 nm -> Rup=0.3509552131547366, Rdown=0.32681792769347096
  λ=703.0150753768844 nm -> Rup=0.35370623517982475, Rdown=0.32960201293861663
  λ=704.5226130653266 nm -> Rup=0.3565044476272127, Rdown=0.33242175046753997
  λ=706.0301507537688 nm -> Rup=0.35934700633060584, Rdown=0.3352765537862918
  λ=707.5376884422111 nm -> Rup=0.36222876153326594, Rdown=0.33816393833133784
  λ=709.0452261306533 nm -> Rup=0.365142838272535, Rdown=0.3410796970124717
  λ=710.5527638190955 nm -> Rup=0.36808119826832136, Rdown=0.3440175734716196
  λ=712.0603015075377 nm -> Rup=0.3710351077818738, Rdown=0.3469717648979728
  λ=713.5678391959799 nm -> Rup=0.37399554555699105, Rdown=0.34993533359928963
  λ=715.0753768844221 nm -> Rup=0.37695347056108364, Rdown=0.35290093035195996
  λ=716.5829145728643 nm -> Rup=0.379899988878663, Rdown=0.35586103250052914
  λ=718.0904522613065 nm -> Rup=0.3828264431683335, Rdown=0.3588080222862813
  λ=719.5979899497487 nm -> Rup=0.3857245158509087, Rdown=0.3617346200683295
  λ=721.105527638191 nm -> Rup=0.3885861982267589, Rdown=0.36463353848141605
  λ=722.6130653266332 nm -> Rup=0.39140385625601676, Rdown=0.3674977079563677
  λ=724.1206030150754 nm -> Rup=0.3941703050481137, Rdown=0.3703199993086794
  λ=725.6281407035176 nm -> Rup=0.3968789506465939, Rdown=0.37309403232272975
  λ=727.1356783919598 nm -> Rup=0.39952400287447165, Rdown=0.3758147346036401
  λ=728.643216080402 nm -> Rup=0.4021007517212764, Rdown=0.3784775442164847
  λ=730.1507537688442 nm -> Rup=0.4046059401437639, Rdown=0.38107927024141663
  λ=731.6582914572864 nm -> Rup=0.40703815100538454, Rdown=0.38361880860432934
  λ=733.1658291457286 nm -> Rup=0.4093983651094159, Rdown=0.3860969032754875
  λ=734.6733668341709 nm -> Rup=0.41169032127453314, Rdown=0.3885169372890579
  λ=736.1809045226131 nm -> Rup=0.4139207887769262, Rdown=0.3908854427847461
  λ=737.6884422110553 nm -> Rup=0.41609968158365845, Rdown=0.3932120501532769
  λ=739.1959798994975 nm -> Rup=0.4182398543542806, Rdown=0.3955086444011808
  λ=740.7035175879397 nm -> Rup=0.42035651259325546, Rdown=0.3977906454496223
  λ=742.2110552763819 nm -> Rup=0.42246628842724465, Rdown=0.40007465626402977
  λ=743.7185929648241 nm -> Rup=0.42458599891465587, Rdown=0.402377414502593
  λ=745.2261306532663 nm -> Rup=0.4267312434280305, Rdown=0.4047146108275425
  λ=746.7336683417085 nm -> Rup=0.4289149819597353, Rdown=0.40709995796422155
  λ=748.2412060301508 nm -> Rup=0.4311465311546124, Rdown=0.40954289537342814
  λ=749.748743718593 nm -> Rup=0.43343066303153255, Rdown=0.4120488972173055
