Simulation Summary - All Geometry/Material Combos
Timestamp: 20250415_173043
Wave parameters: {'angle': 0, 'polarization': 1}
Number of RCWA modes: 60

---- COMBINATIONS ----

Combo name: c30_g2_m10 - Mat_S1
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 6.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2'}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Werner-DFT', 'data': 'main/Ag/nk/Werner-DFT.yml'}}, {'key': 'perm_metalliclayer', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Werner-DFT', 'data': 'main/Au/nk/Werner-DFT.yml'}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}]
RI Overrides: {'perm_reso': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Werner-DFT', 'data': 'main/Ag/nk/Werner-DFT.yml'}, 'perm_metalliclayer': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Werner-DFT', 'data': 'main/Au/nk/Werner-DFT.yml'}, 'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Rodriguez-de_Marcos', 'data': 'main/SiO2/nk/Rodriguez-de Marcos.yml'}}
Reflectance points (Rup, Rdown):
  λ=300.0 nm -> Rup=0.11074214633903345, Rdown=0.10516569566773053
  λ=303.5175879396985 nm -> Rup=0.11443425216643362, Rdown=0.10588519500447609
  λ=307.035175879397 nm -> Rup=0.1180957328466362, Rdown=0.10663301310327951
  λ=310.5527638190955 nm -> Rup=0.12165148438390802, Rdown=0.10709961963674511
  λ=314.07035175879395 nm -> Rup=0.12479134366154389, Rdown=0.10607508937919201
  λ=317.58793969849245 nm -> Rup=0.12786421239115678, Rdown=0.10507479870342043
  λ=321.10552763819095 nm -> Rup=0.13086839693898122, Rdown=0.10409963828898484
  λ=324.62311557788945 nm -> Rup=0.13380256093343731, Rdown=0.10314760641797506
  λ=328.14070351758795 nm -> Rup=0.13666546366215876, Rdown=0.10221960197909108
  λ=331.65829145728645 nm -> Rup=0.13946230674909452, Rdown=0.10131615423616026
  λ=335.1758793969849 nm -> Rup=0.14222533278725277, Rdown=0.10043421281967567
  λ=338.6934673366834 nm -> Rup=0.1449546220463681, Rdown=0.0995695964364692
  λ=342.2110552763819 nm -> Rup=0.14765205917659538, Rdown=0.09872081776983938
  λ=345.7286432160804 nm -> Rup=0.15031964678804252, Rdown=0.09788715321702701
  λ=349.2462311557789 nm -> Rup=0.15295947595710702, Rdown=0.09706966047113194
  λ=352.7638190954774 nm -> Rup=0.15557379418677308, Rdown=0.09626825317476746
  λ=356.2814070351759 nm -> Rup=0.15769308777871555, Rdown=0.09527885594556353
  λ=359.7989949748744 nm -> Rup=0.15944217785283338, Rdown=0.0941690207429106
  λ=363.31658291457285 nm -> Rup=0.16116271706537183, Rdown=0.09308976087813745
  λ=366.83417085427135 nm -> Rup=0.1628569358812243, Rdown=0.092041260477165
  λ=370.35175879396985 nm -> Rup=0.16452724170323205, Rdown=0.09102319407614962
  λ=373.86934673366835 nm -> Rup=0.1661760749551778, Rdown=0.09003439712032808
  λ=377.38693467336685 nm -> Rup=0.16780580899417452, Rdown=0.08907459901878231
  λ=380.9045226130653 nm -> Rup=0.16941903989695234, Rdown=0.08814430637438335
  λ=384.4221105527638 nm -> Rup=0.17054004255905006, Rdown=0.08723576718625123
  λ=387.9396984924623 nm -> Rup=0.1715427985775194, Rdown=0.08644791263008256
  λ=391.4572864321608 nm -> Rup=0.1725252041301033, Rdown=0.08579747770226286
  λ=394.9748743718593 nm -> Rup=0.17349187253362783, Rdown=0.08529332345274318
  λ=398.4924623115578 nm -> Rup=0.17444912092679682, Rdown=0.08494451420341541
  λ=402.0100502512563 nm -> Rup=0.17540577603927907, Rdown=0.08476022538676488
  λ=405.5276381909548 nm -> Rup=0.1763744983040993, Rdown=0.08475207355331264
  λ=409.0452261306533 nm -> Rup=0.17737330234788146, Rdown=0.08493006801477006
  λ=412.56281407035175 nm -> Rup=0.17842829510018363, Rdown=0.08530406144016232
  λ=416.08040201005025 nm -> Rup=0.17540160573277164, Rdown=0.08699236179668683
  λ=419.59798994974875 nm -> Rup=0.1708566754195005, Rdown=0.08899570458253747
  λ=423.11557788944725 nm -> Rup=0.16574345009259941, Rdown=0.09100101519605129
  λ=426.63316582914575 nm -> Rup=0.15997723951371953, Rdown=0.09296333051738279
  λ=430.1507537688442 nm -> Rup=0.15353523850641887, Rdown=0.09474393937811555
  λ=433.6683417085427 nm -> Rup=0.14669157797232887, Rdown=0.09603367264820777
  λ=437.1859296482412 nm -> Rup=0.14027679890712721, Rdown=0.09637818160207354
  λ=440.7035175879397 nm -> Rup=0.13551012388388525, Rdown=0.09543047476963065
  λ=444.2211055276382 nm -> Rup=0.13321663950496127, Rdown=0.0932559906842896
  λ=447.7386934673367 nm -> Rup=0.13319842482222055, Rdown=0.09027064146882229
  λ=451.2562814070352 nm -> Rup=0.1346420799777156, Rdown=0.08693285129694721
  λ=454.7738693467337 nm -> Rup=0.13653140540022404, Rdown=0.08404134623942028
  λ=458.2914572864322 nm -> Rup=0.13818558891283014, Rdown=0.08148596462181874
  λ=461.80904522613065 nm -> Rup=0.13946170636720306, Rdown=0.07914976628208906
  λ=465.32663316582915 nm -> Rup=0.14036384221471263, Rdown=0.07686762908650335
  λ=468.84422110552765 nm -> Rup=0.14111629823091507, Rdown=0.07458727868122318
  λ=472.3618090452261 nm -> Rup=0.1419498535984364, Rdown=0.0724091021946764
  λ=475.8793969849246 nm -> Rup=0.14291555791934854, Rdown=0.07044401394015981
  λ=479.3969849246231 nm -> Rup=0.14394268320210854, Rdown=0.06872533813999748
  λ=482.9145728643216 nm -> Rup=0.14494666452866803, Rdown=0.06723228636208389
  λ=486.4321608040201 nm -> Rup=0.1458709830768227, Rdown=0.06592524131838988
  λ=489.9497487437186 nm -> Rup=0.14668575170032533, Rdown=0.06476449248705164
  λ=493.4673366834171 nm -> Rup=0.14737599306452906, Rdown=0.06371561482241678
  λ=496.9849246231156 nm -> Rup=0.1476200259662088, Rdown=0.06263061571901281
  λ=500.5025125628141 nm -> Rup=0.1470211485412847, Rdown=0.06131248517188181
  λ=504.0201005025126 nm -> Rup=0.14634260741631858, Rdown=0.06001356494789743
  λ=507.53768844221105 nm -> Rup=0.14559385934737573, Rdown=0.05872582346071809
  λ=511.05527638190955 nm -> Rup=0.14478823077328493, Rdown=0.05744696510577713
  λ=514.572864321608 nm -> Rup=0.14394065288929972, Rdown=0.05618151439706269
  λ=518.0904522613066 nm -> Rup=0.1430629676964909, Rdown=0.05493980514283036
  λ=521.608040201005 nm -> Rup=0.1421624010044735, Rdown=0.053729873415628605
  λ=525.1256281407035 nm -> Rup=0.14124222605203401, Rdown=0.05255516192778591
  λ=528.643216080402 nm -> Rup=0.14030339405927206, Rdown=0.051416348822883026
  λ=532.1608040201005 nm -> Rup=0.13934653007061545, Rdown=0.05031176198044358
  λ=535.678391959799 nm -> Rup=0.13837302679282187, Rdown=0.04923892166514149
  λ=539.1959798994975 nm -> Rup=0.13738455690639156, Rdown=0.04819574760534566
  λ=542.713567839196 nm -> Rup=0.13638320367521367, Rdown=0.047181117111147246
  λ=546.2311557788945 nm -> Rup=0.13537156858775212, Rdown=0.0461941337175934
  λ=549.748743718593 nm -> Rup=0.13435184382369295, Rdown=0.045234662744396935
  λ=553.2663316582915 nm -> Rup=0.13336706576200985, Rdown=0.04455835011088642
  λ=556.78391959799 nm -> Rup=0.13245008238732098, Rdown=0.0441035309125959
  λ=560.3015075376884 nm -> Rup=0.13158896219192787, Rdown=0.04373531346522387
  λ=563.819095477387 nm -> Rup=0.13078460593036262, Rdown=0.04345701101816755
  λ=567.3366834170854 nm -> Rup=0.13003791266789785, Rdown=0.043271378817623884
  λ=570.854271356784 nm -> Rup=0.12934982093409114, Rdown=0.043182026743515484
  λ=574.3718592964824 nm -> Rup=0.12872105326056196, Rdown=0.043192018875488264
  λ=577.8894472361809 nm -> Rup=0.12815181575614934, Rdown=0.04330424074313525
  λ=581.4070351758794 nm -> Rup=0.127643120330192, Rdown=0.04352171606046427
  λ=584.9246231155779 nm -> Rup=0.12719648853502508, Rdown=0.04384744744380394
  λ=588.4422110552764 nm -> Rup=0.12681222799400643, Rdown=0.0442846362521587
  λ=591.9597989949749 nm -> Rup=0.1264915900941946, Rdown=0.04483621605658254
  λ=595.4773869346734 nm -> Rup=0.12623720005905087, Rdown=0.04550594984109194
