Simulation Summary - All Geometry/Material Combos
Timestamp: 20250430_134253
Wave parameters: {'angle': 0, 'polarization': 1}
---- COMBINATIONS ----

Combo name: c30_g2_m10 - Mat_S1
  Number of RCWA modes: 23
Geometry:
{'thick_super': 200.0, 'thick_reso': 30.0, 'width_reso': 30.0, 'thick_gap': 2.0, 'thick_mol': 0.0, 'thick_func': 0.0, 'thick_diel': 6.0, 'thick_metalliclayer': 10.0, 'thick_XIAOYI': 0.0, 'thick_accroche': 0.0, 'thick_sub': 200.0, 'period': 100.2153}
Material config (df_config):
[{'key': 'perm_env', 'material': {'type': 'None'}}, {'key': 'perm_gap', 'material': {'type': 'Custom', 'expression': '1.45**2', 'override': [300.0, 1000.0]}}, {'key': 'perm_diel', 'material': {'type': 'Custom', 'expression': '1.45**2', 'override': [300.0, 1000.0]}}, {'key': 'perm_func', 'material': {'type': 'None'}}, {'key': 'perm_mol', 'material': {'type': 'None'}}, {'key': 'perm_reso', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Rakic-BB', 'data': 'main/Ag/nk/Rakic-BB.yml', 'override': [299.97, 999.97]}}, {'key': 'perm_metalliclayer', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Rakic-BB', 'data': 'main/Au/nk/Rakic-BB.yml', 'override': [299.97, 999.97]}}, {'key': 'perm_XIAOYI', 'material': {'type': 'None'}}, {'key': 'perm_accroche', 'material': {'type': 'None'}}, {'key': 'perm_sub', 'material': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Franta', 'data': 'main/SiO2/nk/Franta.yml', 'override': [209.797, 6699.797]}}]
RI Overrides: {'perm_reso': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Ag', 'page': 'Rakic-BB', 'data': 'main/Ag/nk/Rakic-BB.yml', 'override': [299.97, 999.97]}, 'perm_metalliclayer': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'Au', 'page': 'Rakic-BB', 'data': 'main/Au/nk/Rakic-BB.yml', 'override': [299.97, 999.97]}, 'perm_sub': {'type': 'RefractiveIndex', 'shelf': 'main', 'book': 'SiO2', 'page': 'Franta', 'data': 'main/SiO2/nk/Franta.yml', 'override': [209.797, 6699.797]}}
Metrics:
  FWHM          : 87.5 nm
  Lam_res      : 843.2 nm
  S_lam        : 0.093 & 0.146
  Q-factor     : 9.6
  Score interne: 3.18e-05
Reflectance points (Rup, Rdown):
  λ=400.0 nm -> Rup=0.08403976735980438, Rdown=0.0937661607920534
  λ=403.0150753768844 nm -> Rup=0.08627594317568622, Rdown=0.08959396899928755
  λ=406.03015075376885 nm -> Rup=0.08827843786342034, Rdown=0.08559224190638151
  λ=409.04522613065325 nm -> Rup=0.09016627811036577, Rdown=0.08194195278706261
  λ=412.0603015075377 nm -> Rup=0.09190459583745321, Rdown=0.07846770954746543
  λ=415.0753768844221 nm -> Rup=0.09356142879778823, Rdown=0.07534084727535487
  λ=418.09045226130655 nm -> Rup=0.09498368641840715, Rdown=0.07244554295984877
  λ=421.10552763819095 nm -> Rup=0.09619027355377892, Rdown=0.06977907524085025
  λ=424.1206030150754 nm -> Rup=0.09705176539952678, Rdown=0.06729305367673921
  λ=427.1356783919598 nm -> Rup=0.09749982960817767, Rdown=0.06485763118523531
  λ=430.1507537688442 nm -> Rup=0.0976390368324179, Rdown=0.06246224606331787
  λ=433.16582914572865 nm -> Rup=0.09731007077324429, Rdown=0.05995502896420866
  λ=436.18090452261305 nm -> Rup=0.09686710407348259, Rdown=0.05745313629244499
  λ=439.1959798994975 nm -> Rup=0.09616674855194209, Rdown=0.054889478271527306
  λ=442.2110552763819 nm -> Rup=0.09541699438489538, Rdown=0.05239701518867021
  λ=445.22613065326635 nm -> Rup=0.094559497866502, Rdown=0.049963294816604394
  λ=448.24120603015075 nm -> Rup=0.09354251321875438, Rdown=0.04758290055104589
  λ=451.2562814070352 nm -> Rup=0.09249311583670827, Rdown=0.045312544704424966
  λ=454.2713567839196 nm -> Rup=0.09117356850635211, Rdown=0.04305647197067333
  λ=457.286432160804 nm -> Rup=0.08981755924633952, Rdown=0.040885907840341
  λ=460.30150753768845 nm -> Rup=0.08829344739820041, Rdown=0.0387606137069057
  λ=463.31658291457285 nm -> Rup=0.08665325125270462, Rdown=0.03667959257928191
  λ=466.3316582914573 nm -> Rup=0.08496804826792217, Rdown=0.03466111547624567
  λ=469.3467336683417 nm -> Rup=0.08313066786674822, Rdown=0.032696300564711296
  λ=472.36180904522615 nm -> Rup=0.08128507372701729, Rdown=0.03079154485920586
  λ=475.37688442211055 nm -> Rup=0.07939982808679648, Rdown=0.02897494417925681
  λ=478.391959798995 nm -> Rup=0.0774966098512437, Rdown=0.027243107985838563
  λ=481.4070351758794 nm -> Rup=0.07560846343150233, Rdown=0.025583208297534847
  λ=484.4221105527638 nm -> Rup=0.07377513405956215, Rdown=0.024089383418255967
  λ=487.43718592964825 nm -> Rup=0.07196820077211173, Rdown=0.0226761266778115
  λ=490.45226130653265 nm -> Rup=0.07025200164716232, Rdown=0.021408811177673598
  λ=493.4673366834171 nm -> Rup=0.06865258416483483, Rdown=0.020314074787386276
  λ=496.4824120603015 nm -> Rup=0.06709038693693548, Rdown=0.0193123835055345
  λ=499.49748743718595 nm -> Rup=0.06575582560047923, Rdown=0.01855184220464342
  λ=502.51256281407035 nm -> Rup=0.0645143179501485, Rdown=0.017928691011926543
  λ=505.5276381909548 nm -> Rup=0.06333987000076882, Rdown=0.017424339937028348
  λ=508.5427135678392 nm -> Rup=0.06248470950183741, Rdown=0.017208964111801416
  λ=511.5577889447236 nm -> Rup=0.061669326275139755, Rdown=0.017101146247762062
  λ=514.572864321608 nm -> Rup=0.061024618508699426, Rdown=0.017182775819555397
  λ=517.5879396984925 nm -> Rup=0.06066257127924463, Rdown=0.017523762675265953
  λ=520.6030150753769 nm -> Rup=0.06037261341096446, Rdown=0.01801034360170034
  λ=523.6180904522613 nm -> Rup=0.06038387249094083, Rdown=0.018761274215784326
  λ=526.6331658291457 nm -> Rup=0.060654275778480614, Rdown=0.019763347242521448
  λ=529.6482412060302 nm -> Rup=0.06105013167627263, Rdown=0.020960545803112844
  λ=532.6633165829146 nm -> Rup=0.06184420072991027, Rdown=0.022464164878465982
  λ=535.678391959799 nm -> Rup=0.0628712043959557, Rdown=0.024216020465062046
  λ=538.6934673366834 nm -> Rup=0.0640612804024027, Rdown=0.02619774026681824
  λ=541.7085427135678 nm -> Rup=0.06566748982768487, Rdown=0.028465445234447453
  λ=544.7236180904523 nm -> Rup=0.0674740566900598, Rdown=0.03097193031372356
  λ=547.7386934673367 nm -> Rup=0.06945336247183374, Rdown=0.03371567441699175
  λ=550.7537688442211 nm -> Rup=0.07180763261033307, Rdown=0.036684163266365644
  λ=553.7688442211055 nm -> Rup=0.07433232198216871, Rdown=0.03987676808148698
  λ=556.78391959799 nm -> Rup=0.07702505732201513, Rdown=0.043293346877163935
  λ=559.7989949748744 nm -> Rup=0.07999904666990403, Rdown=0.04684633999133176
  λ=562.8140703517588 nm -> Rup=0.08312875628162004, Rdown=0.05060684980358995
  λ=565.8291457286432 nm -> Rup=0.08641619809672604, Rdown=0.05457617301594829
  λ=568.8442211055276 nm -> Rup=0.08990390713973902, Rdown=0.058605054742445976
  λ=571.8592964824121 nm -> Rup=0.09353638881931231, Rdown=0.06282309858421528
  λ=574.8743718592965 nm -> Rup=0.09731386559556617, Rdown=0.06723108865838266
  λ=577.8894472361809 nm -> Rup=0.10122784479825703, Rdown=0.07165219386846582
  λ=580.9045226130653 nm -> Rup=0.10526852226976532, Rdown=0.07622905353028714
  λ=583.9195979899498 nm -> Rup=0.1094368084903378, Rdown=0.08097153259526879
  λ=586.9346733668342 nm -> Rup=0.11367972373342328, Rdown=0.0856912807576601
  λ=589.9497487437186 nm -> Rup=0.11802462837850362, Rdown=0.09051966703401838
  λ=592.964824120603 nm -> Rup=0.12247887509239515, Rdown=0.09548941973408201
  λ=595.9798994974874 nm -> Rup=0.1269800824395164, Rdown=0.10044157504964142
  λ=598.9949748743719 nm -> Rup=0.1315507280744677, Rdown=0.10544527034083874
  λ=602.0100502512563 nm -> Rup=0.13621732784777818, Rdown=0.11057175078660224
  λ=605.0251256281407 nm -> Rup=0.14092381384558314, Rdown=0.11570711209247901
  λ=608.0402010050251 nm -> Rup=0.14565464887934626, Rdown=0.1208243331765858
  λ=611.0552763819096 nm -> Rup=0.15047029107698418, Rdown=0.12604924890837713
  λ=614.070351758794 nm -> Rup=0.15534308398133329, Rdown=0.1313325679008101
  λ=617.0854271356784 nm -> Rup=0.1601910966508614, Rdown=0.13652625947181654
  λ=620.1005025125628 nm -> Rup=0.16511265981797826, Rdown=0.14181404780678156
  λ=623.1155778894472 nm -> Rup=0.17010722213211596, Rdown=0.147195533037717
  λ=626.1306532663317 nm -> Rup=0.1750356218664565, Rdown=0.15244679097965147
  λ=629.1457286432161 nm -> Rup=0.1800095075557078, Rdown=0.15775117465051855
  λ=632.1608040201005 nm -> Rup=0.18504689677378133, Rdown=0.1631379547484761
  λ=635.1758793969849 nm -> Rup=0.19007552913302428, Rdown=0.1684935654353195
  λ=638.1909547738694 nm -> Rup=0.1950914388770571, Rdown=0.17381558539443645
  λ=641.2060301507538 nm -> Rup=0.200158757629144, Rdown=0.17920804682782873
  λ=644.2211055276382 nm -> Rup=0.2052655490795553, Rdown=0.18465249733142558
  λ=647.2361809045226 nm -> Rup=0.21028352747462803, Rdown=0.18996063338305896
  λ=650.251256281407 nm -> Rup=0.2153498885411368, Rdown=0.19533372190677847
  λ=653.2663316582915 nm -> Rup=0.2204629294914278, Rdown=0.20077066357974074
  λ=656.2814070351759 nm -> Rup=0.22553782485934798, Rdown=0.2061509690659721
  λ=659.2964824120603 nm -> Rup=0.2305985968010337, Rdown=0.21151294957208833
  λ=662.3115577889448 nm -> Rup=0.2356982358845743, Rdown=0.21693623212493207
  λ=665.3266331658292 nm -> Rup=0.24082259514576404, Rdown=0.22240508022207298
  λ=668.3417085427136 nm -> Rup=0.24585263103126045, Rdown=0.22775379226191864
  λ=671.356783919598 nm -> Rup=0.25091020514114676, Rdown=0.23315439636275612
  λ=674.3718592964824 nm -> Rup=0.2559961796176896, Rdown=0.23860696868790238
  λ=677.3869346733668 nm -> Rup=0.26104508461273174, Rdown=0.24402273621900225
  λ=680.4020100502512 nm -> Rup=0.26604870529436864, Rdown=0.24938935723841674
  λ=683.4170854271357 nm -> Rup=0.2710865050178896, Rdown=0.25481268103540355
  λ=686.4321608040201 nm -> Rup=0.2761590656246398, Rdown=0.2602961203857247
  λ=689.4472361809046 nm -> Rup=0.2811628097441322, Rdown=0.2657061528948182
  λ=692.462311557789 nm -> Rup=0.286164933659551, Rdown=0.2711391969861042
  λ=695.4773869346734 nm -> Rup=0.29118800132103206, Rdown=0.2766311425116902
